time,Google_impressions,Google_Spend,Bing_Impressions,Bing_Spend,Facebook_Impressions,Facebook_Spend,DV360_Impressions,DV360_spend,Podcasts_impressions,Podcasts-spend,Amazon_Impressions,Amazon_spend,Inuvo_Impressions,Inuvo_Spend,Nexen_Impressions,Nexen_Spend,Trade Desk_Impressions,Trade Desk_Spend,Live Sports Activations_impressions,Live Sports Activations,Promo_Var,revenue
2022-01-29,4967160,4967,276860,276.86,7543770,7543.77,202000,202,0,0,4399740,4399.74,0,0,0,0,1448400,1448.4,0,0,0.3,221971.87
2022-01-30,4722800,4723,248520,248.52,7311380,7311.38,137360,137.36,0,0,4402320,4402.32,0,0,0,0,1459480,1459.48,0,0,0.3,220333.49
2022-01-31,4517170,4517,263780,263.78,7302960,7302.96,64640,64.64,0,0,4406260,4406.26,0,0,0,0,595240,595.24,0,0,0.3,255926.36
2022-02-01,5198810,5199,311740,311.74,7253360,7253.36,72720,72.72,0,0,4401860,4401.86,0,0,0,0,1777470,1777.47,0,0,0.3,294628.32
2022-02-02,4863020,4863,298660,298.66,7356160,7356.16,153520,153.52,0,0,5734510,5734.51,0,0,0,0,2378920,2378.92,0,0,0.3,267725.96
2022-02-03,5143720,5144,296480,296.48,7386840,7386.84,80800,80.8,0,0,6627830,6627.83,0,0,0,0,2390930,2390.93,0,0,0.3,247190.93
2022-02-04,4953410,4953,279040,279.04,8142910,8142.91,32320,32.32,0,0,6621070,6621.07,0,0,0,0,2192560,2192.56,0,0,0.3,232381.77
2022-02-05,5277930,5278,285580,285.58,9264420,9264.42,80800,80.8,0,0,6523480,6523.48,0,0,0,0,1998710,1998.71,0,0,0.3,255766.68
2022-02-06,5230180,5230,235440,235.44,9537420,9537.42,105040,105.04,0,0,6498610,6498.61,0,0,0,0,2080600,2080.6,0,0,0.3,220863.17
2022-02-07,5154920,5155,322640,322.64,9914110,9914.11,72720,72.72,0,0,6592100,6592.1,0,0,0,0,1919950,1919.95,0,0,0.3,238845.18
2022-02-08,5180550,5181,372780,372.78,8739330,8739.33,88880,88.88,0,0,6595800,6595.8,0,0,0,0,2008680,2008.68,0,0,0,222322.17
2022-02-09,5343310,5343,385860,385.86,8644120,8644.12,210080,210.08,0,0,7923370,7923.37,0,0,0,0,1914440,1914.44,0,0,0,247046.13
2022-02-10,5052550,5053,385860,385.86,8524970,8524.97,282800,282.8,0,0,7797430,7797.43,0,0,0,0,1936820,1936.82,0,0,0,226773.19
2022-02-11,4800820,4801,331360,331.36,8561490,8561.49,412080,412.08,0,0,6935600,6935.6,0,0,0,0,1900310,1900.31,0,0,0,220718.8
2022-02-12,5003560,5004,340080,340.08,9106690,9106.69,1607920,1607.92,0,0,7260770,7260.77,0,0,0,0,1855070,1855.07,0,0,0,199314.62
2022-02-13,4740610,4741,239800,239.8,8578490,8578.49,630240,630.24,0,0,6944910,6944.91,0,0,0,0,1892760,1892.76,0,0,0,199105.49
2022-02-14,4933680,4934,322640,322.64,9616230,9616.23,347440,347.44,0,0,7054070,7054.07,0,0,0,0,1976470,1976.47,0,0,0,224220.5
2022-02-15,5337560,5338,257240,257.24,9167350,9167.35,444400,444.4,0,0,7054510,7054.51,0,0,0,0,2047650,2047.65,0,0,0,249412.57
2022-02-16,5459410,5459,337900,337.9,8466550,8466.55,2133120,2133.12,0,0,6930230,6930.23,0,0,0,0,930800,930.8,0,0,0,229198.38
2022-02-17,5558410,5558,337900,337.9,7840410,7840.41,2440160,2440.16,0,0,7056070,7056.07,0,0,0,0,1064490,1064.49,0,0,0,182130.35
2022-02-18,5751420,5751,189660,189.66,8839240,8839.24,2787600,2787.6,0,0,6904540,6904.54,0,0,0,0,1052610,1052.61,0,0,0.3,227445.94
2022-02-19,5740660,5741,252880,252.88,9281710,9281.71,2731040,2731.04,0,0,7225170,7225.17,0,0,0,0,965900,965.9,0,0,0.3,182515.31
2022-02-20,5968100,5968,189660,189.66,9125770,9125.77,2391680,2391.68,0,0,7077140,7077.14,0,0,0,0,1011610,1011.61,0,0,0.3,191809.14
2022-02-21,6263990,6264,272500,272.5,8492910,8492.91,2343200,2343.2,0,0,6897020,6897.02,0,0,0,0,993000,993,0,0,0.3,210518.79
2022-02-22,6404600,6405,259420,259.42,8202770,8202.77,2222000,2222,0,0,6933370,6933.37,0,0,0,0,1060480,1060.48,0,0,0.3,223507.12
2022-02-23,4371380,4371,220180,220.18,7727030,7727.03,1979600,1979.6,0,0,6942780,6942.78,0,0,0,0,996720,996.72,0,0,0.3,206081
2022-02-24,3454420,3454,161320,161.32,7793650,7793.65,2335120,2335.12,0,0,7106180,7106.18,0,0,0,0,999240,999.24,0,0,0.3,188231.36
2022-02-25,2941440,2941,220180,220.18,4981680,4981.68,2165440,2165.44,0,0,6933440,6933.44,0,0,0,0,968280,968.28,0,0,0.3,186947.52
2022-02-26,3510420,3510,270320,270.32,2962690,2962.69,2504800,2504.8,0,0,7168010,7168.01,0,0,0,0,835010,835.01,0,0,0.3,191476.4
2022-02-27,3757110,3757,237620,237.62,2969380,2969.38,2286640,2286.64,0,0,7213630,7213.63,0,0,0,0,673060,673.06,0,0,0.3,191922.5
2022-02-28,4476700,4477,337900,337.9,2948650,2948.65,1244320,1244.32,0,0,6865290,6865.29,0,0,0,0,753460,753.46,0,0,0.3,228607.34
2022-03-01,4433070,4433,279040,279.04,3327150,3327.15,1244320,1244.32,0,0,6842270,6842.27,0,0,0,0,2504050,2504.05,0,0,0.3,212620.22
2022-03-02,5719430,5719,340080,340.08,3161220,3161.22,1106960,1106.96,0,0,7307600,7307.6,0,0,0,0,1876220,1876.22,0,0,0.3,232106.16
2022-03-03,6633670,6634,239800,239.8,3274010,3274.01,1341280,1341.28,0,0,7101460,7101.46,0,0,0,0,2236620,2236.62,0,0,0.3,253268.37
2022-03-04,4476610,4477,246340,246.34,6651770,6651.77,1276640,1276.64,0,0,7053800,7053.8,0,0,0,0,3298230,3298.23,0,0,0.35,244888.03
2022-03-05,4359910,4360,161320,161.32,7939510,7939.51,1179680,1179.68,0,0,7037120,7037.12,0,0,0,0,2729350,2729.35,0,0,0.35,207068.27
2022-03-06,4060720,4061,222360,222.36,8521110,8521.11,1308960,1308.96,0,0,7028690,7028.69,0,0,0,0,2689900,2689.9,0,0,0.35,213347.73
2022-03-07,4313480,4313,174400,174.4,8167300,8167.3,1365520,1365.52,0,0,7012900,7012.9,0,0,0,0,3131070,3131.07,0,0,0.35,239955.34
2022-03-08,4784000,4784,191840,191.84,7599590,7599.59,1163520,1163.52,0,0,7031270,7031.27,0,0,0,0,2886630,2886.63,0,0,0.35,249542.32
2022-03-09,4229790,4230,187480,187.48,6559910,6559.91,1090800,1090.8,0,0,6977630,6977.63,0,0,0,0,3165010,3165.01,0,0,0.35,246172.48
2022-03-10,4252030,4252,172220,172.22,5652100,5652.1,921120,921.12,0,0,7003780,7003.78,0,0,0,0,3168620,3168.62,0,0,0.35,239676.92
2022-03-11,4174300,4174,143880,143.88,5363630,5363.63,1236240,1236.24,0,0,6889840,6889.84,0,0,0,0,2769740,2769.74,0,0,0.35,219398
2022-03-12,4400850,4401,106820,106.82,5455560,5455.56,937280,937.28,0,0,7197560,7197.56,0,0,0,0,2683000,2683,0,0,0.35,213952.76
2022-03-13,4301650,4302,178760,178.76,5384110,5384.11,824160,824.16,0,0,6999740,6999.74,0,0,0,0,2580420,2580.42,0,0,0.35,201319.74
2022-03-14,5311610,5312,244160,244.16,5470670,5470.67,1292800,1292.8,0,0,6837070,6837.07,0,0,0,0,2690380,2690.38,0,0,0.35,288323.12
2022-03-15,5011040,5011,276860,276.86,5763580,5763.58,969600,969.6,0,0,7036950,7036.95,0,0,0,0,2633940,2633.94,0,0,0.35,220988.43
2022-03-16,5079750,5080,313920,313.92,5254800,5254.8,1106960,1106.96,0,0,6874230,6874.23,0,0,0,0,2709190,2709.19,0,0,0.35,264519.09
2022-03-17,4410430,4410,259420,259.42,5611520,5611.52,1074640,1074.64,0,0,6959820,6959.82,0,0,0,0,2824430,2824.43,0,0,0.35,234905.64
2022-03-18,8242720,8243,368420,368.42,10927520,10927.52,1155440,1155.44,0,0,6948560,6948.56,0,0,0,0,2698380,2698.38,0,0,0.45,602628.37
2022-03-19,6370970,6371,255060,255.06,6060470,6060.47,1236240,1236.24,0,0,7053210,7053.21,0,0,0,0,2571800,2571.8,0,0,0.35,212751.15
2022-03-20,7159920,7160,287760,287.76,5483660,5483.66,985760,985.76,0,0,7260010,7260.01,0,0,0,0,2669560,2669.56,0,0,0.35,231952.94
2022-03-21,7045650,7046,246340,246.34,5013830,5013.83,1090800,1090.8,0,0,7007080,7007.08,0,0,0,0,2568390,2568.39,0,0,0.35,240331.03
2022-03-22,6182800,6183,327000,327,4097980,4097.98,856480,856.48,0,0,4792470,4792.47,0,0,0,0,2075870,2075.87,0,0,0,200010.79
2022-03-23,11134330,11134,327000,327,9917250,9917.25,1010000,1010,0,0,5541190,5541.19,0,0,0,0,14320940,14320.94,0,0,0,545408.37
2022-03-24,8426760,8427,388040,388.04,10517940,10517.94,581760,581.76,0,0,5546260,5546.26,0,0,0,0,11433170,11433.17,0,0,0.25,393773.18
2022-03-25,9298380,9298,418560,418.56,9529880,9529.88,614080,614.08,0,0,5418870,5418.87,0,0,0,0,10662850,10662.85,0,0,0.25,273412.3
2022-03-26,9308130,9308,420740,420.74,7976330,7976.33,832240,832.24,0,0,5538350,5538.35,0,0,0,0,9319330,9319.33,0,0,0.25,263250.13
2022-03-27,8828930,8829,359700,359.7,8379080,8379.08,1308960,1308.96,0,0,5656700,5656.7,0,0,0,0,9327300,9327.3,0,0,0.25,244562.4
2022-03-28,8972020,8972,379320,379.32,7264520,7264.52,1591760,1591.76,0,0,5872720,5872.72,0,0,0,0,8252430,8252.43,0,0,0.25,275684.72
2022-03-29,8240200,8240,377140,377.14,6980340,6980.34,1018080,1018.08,0,0,5849950,5849.95,0,0,0,0,8078630,8078.63,0,0,0.25,286756.66
2022-03-30,8059700,8060,287760,287.76,6830370,6830.37,1252400,1252.4,0,0,5825590,5825.59,0,0,0,0,6706340,6706.34,0,0,0.25,272427.87
2022-03-31,9187270,9187,329180,329.18,6840500,6840.5,1777600,1777.6,0,0,5742670,5742.67,0,0,0,0,3853190,3853.19,0,0,0.25,252963.28
2022-04-01,8761250,8761,374960,374.96,6645970,6645.97,1801840,1801.84,0,0,2214670,2214.67,0,0,0,0,5274740,5274.74,0,0,0.25,254035.3
2022-04-02,7604350,7604,298660,298.66,7043190,7043.19,1527120,1527.12,0,0,2207880,2207.88,0,0,0,0,4367630,4367.63,0,0,0.25,216318.77
2022-04-03,6693690,6694,289940,289.94,7495640,7495.64,1696800,1696.8,0,0,2208920,2208.92,0,0,0,0,4398410,4398.41,0,0,0.25,218758.63
2022-04-04,6980290,6980,207100,207.1,7057540,7057.54,1826080,1826.08,0,0,2209450,2209.45,0,0,0,0,4133500,4133.5,0,0,0,247905.53
2022-04-05,6201270,6201,265960,265.96,6860470,6860.47,1559440,1559.44,0,0,2207490,2207.49,0,0,0,0,4791180,4791.18,0,0,0,260360.53
2022-04-06,6677260,6677,218000,218,6240100,6240.1,1325120,1325.12,0,0,2207540,2207.54,0,0,0,0,4982530,4982.53,0,0,0,238271.27
2022-04-07,7131600,7132,342260,342.26,6293790,6293.79,1268560,1268.56,0,0,2207990,2207.99,0,0,0,0,4674710,4674.71,0,0,0,215112.39
2022-04-08,8002820,8003,263780,263.78,6242580,6242.58,1098880,1098.88,0,0,2208550,2208.55,0,0,0,0,4235180,4235.18,0,0,0.15,242113.13
2022-04-09,8300090,8300,224540,224.54,6387810,6387.81,1155440,1155.44,0,0,2207770,2207.77,0,0,0,0,3902780,3902.78,0,0,0.15,206480.37
2022-04-10,8601980,8602,185300,185.3,6580610,6580.61,1171600,1171.6,0,0,2208580,2208.58,0,0,0,0,4200520,4200.52,0,0,0.15,215565.33
2022-04-11,9635480,9635,276860,276.86,6408040,6408.04,1010000,1010,0,0,2209060,2209.06,0,0,0,0,4126990,4126.99,0,0,0.15,241414.53
2022-04-12,8876430,8876,270320,270.32,6242820,6242.82,1155440,1155.44,0,0,2209350,2209.35,0,0,0,0,4690310,4690.31,0,0,0.15,228743.52
2022-04-13,8785540,8786,270320,270.32,6097530,6097.53,1034240,1034.24,0,0,2258440,2258.44,0,0,0,0,4764920,4764.92,0,0,0.15,233888.6
2022-04-14,8350620,8351,250700,250.7,6013850,6013.85,1308960,1308.96,0,0,2208490,2208.49,0,0,0,0,4553110,4553.11,0,0,0.15,229373.01
2022-04-15,7033360,7033,200560,200.56,5922400,5922.4,1058480,1058.48,0,0,2208570,2208.57,0,0,0,0,4476130,4476.13,0,0,0.15,203944
2022-04-16,6130780,6131,272500,272.5,6100880,6100.88,1195840,1195.84,0,0,2206800,2206.8,0,0,0,0,4147460,4147.46,0,0,0.15,196960.33
2022-04-17,4501740,4502,255060,255.06,6385230,6385.23,985760,985.76,0,0,2208030,2208.03,0,0,0,0,4100540,4100.54,0,0,0.15,209618.64
2022-04-18,5445930,5446,276860,276.86,6261010,6261.01,1244320,1244.32,0,0,2224340,2224.34,0,0,0,0,3609200,3609.2,0,0,0.15,261331.47
2022-04-19,5277590,5278,270320,270.32,6377280,6377.28,1365520,1365.52,0,0,2211900,2211.9,0,0,0,0,3912220,3912.22,0,0,0,231119.33
2022-04-20,4798470,4798,283400,283.4,6016690,6016.69,1131200,1131.2,0,0,2224290,2224.29,0,0,0,0,3801230,3801.23,0,0,0,223521.59
2022-04-21,4610320,4610,281220,281.22,5845470,5845.47,1026160,1026.16,0,0,2205290,2205.29,0,0,0,0,3679520,3679.52,0,0,0,234170.47
2022-04-22,4706310,4706,154780,154.78,7353310,7353.31,1155440,1155.44,0,0,2206770,2206.77,0,0,0,0,3623160,3623.16,0,0,0.25,271056.91
2022-04-23,4518140,4518,135160,135.16,7942760,7942.76,977680,977.68,0,0,2206560,2206.56,0,0,0,0,2957050,2957.05,0,0,0.25,227164.11
2022-04-24,4569530,4570,113360,113.36,8623730,8623.73,1187760,1187.76,0,0,2207220,2207.22,0,0,0,0,3174310,3174.31,0,0,0.25,245953.85
2022-04-25,5999800,6000,259420,259.42,8939210,8939.21,1018080,1018.08,0,0,2206060,2206.06,0,0,0,0,3450680,3450.68,0,0,0.25,267762.66
2022-04-26,5883160,5883,324820,324.82,9627860,9627.86,1042320,1042.32,0,0,2225780,2225.78,0,0,0,0,3388500,3388.5,0,0,0.25,252962.02
2022-04-27,5640830,5641,350980,350.98,10514230,10514.23,1098880,1098.88,0,0,2205940,2205.94,0,0,0,0,3628440,3628.44,0,0,0.25,254455.35
2022-04-28,5995290,5995,305200,305.2,10440790,10440.79,1074640,1074.64,0,0,2207110,2207.11,0,0,0,0,8373990,8373.99,0,0,0.25,251297.74
2022-04-29,5526730,5527,283400,283.4,10424280,10424.28,937280,937.28,0,0,2207180,2207.18,0,0,0,0,6300100,6300.1,0,0,0.25,236832.28
2022-04-30,5563020,5563,313920,313.92,10765580,10765.58,937280,937.28,0,0,2206610,2206.61,0,0,0,0,3728590,3728.59,0,0,0.25,217757.04
2022-05-01,5283790,5284,261600,261.6,10999810,10999.81,1026160,1026.16,0,0,2205160,2205.16,0,0,0,0,3706960,3706.96,0,0,0.25,266258.01
2022-05-02,5945610,5946,344440,344.44,10548130,10548.13,1220080,1220.08,0,0,2205530,2205.53,0,0,0,0,3406900,3406.9,0,0,0.25,290703.92
2022-05-03,5823250,5823,505760,505.76,10897390,10897.39,993840,993.84,0,0,2205120,2205.12,0,0,0,0,3326880,3326.88,0,0,0.3,290990.92
2022-05-04,6136380,6136,313920,313.92,11110460,11110.46,1018080,1018.08,0,0,2206210,2206.21,0,0,0,0,2934400,2934.4,0,0,0.3,286427.62
2022-05-05,5782360,5782,244160,244.16,11067990,11067.99,323200,323.2,0,0,2207580,2207.58,0,0,0,0,2974730,2974.73,0,0,0.3,340092.31
2022-05-06,5174170,5174,209280,209.28,11347150,11347.15,169680,169.68,0,0,2205700,2205.7,0,0,0,0,3103780,3103.78,0,0,0.3,295933.44
2022-05-07,5160820,5161,296480,296.48,11844200,11844.2,177760,177.76,0,0,2207570,2207.57,0,0,0,0,2973070,2973.07,0,0,0.3,251069.21
2022-05-08,5171590,5172,248520,248.52,11955210,11955.21,177760,177.76,0,0,2205220,2205.22,0,0,0,0,3454020,3454.02,0,0,0.3,236741.56
2022-05-09,5796950,5797,244160,244.16,11591170,11591.17,153520,153.52,0,0,2207150,2207.15,0,0,0,0,4017260,4017.26,0,0,0.3,297895.96
2022-05-10,6348060,6348,311740,311.74,11132020,11132.02,72720,72.72,0,0,2206510,2206.51,0,0,0,0,4022370,4022.37,0,0,0.3,283791.12
2022-05-11,6398260,6398,237620,237.62,10792350,10792.35,242400,242.4,0,0,2207730,2207.73,0,0,0,0,4089770,4089.77,0,0,0.15,263228.61
2022-05-12,7123830,7124,292120,292.12,12143260,12143.26,105040,105.04,0,0,2215670,2215.67,0,0,0,0,3327010,3327.01,0,0,0.15,250644.6
2022-05-13,7653370,7653,2725000,2725,9818080,9818.08,202000,202,0,0,2206940,2206.94,0,0,0,0,3899350,3899.35,0,0,0,214589.53
2022-05-14,6942230,6942,359700,359.7,6779580,6779.58,113120,113.12,0,0,2208730,2208.73,0,0,0,0,3260420,3260.42,0,0,0,185556.4
2022-05-15,7938160,7938,281220,281.22,7266770,7266.77,129280,129.28,0,0,2210910,2210.91,0,0,0,0,3231200,3231.2,0,0,0,202978.9
2022-05-16,8641600,8642,305200,305.2,7012020,7012.02,137360,137.36,0,0,2211160,2211.16,0,0,0,0,3477620,3477.62,0,0,0,249117.22
2022-05-17,6922720,6923,298660,298.66,6009390,6009.39,137360,137.36,0,0,2208570,2208.57,0,0,0,0,3445110,3445.11,0,0,0,260519.26
2022-05-18,7117840,7118,248520,248.52,6805930,6805.93,193920,193.92,0,0,2210150,2210.15,0,0,0,0,3174410,3174.41,0,0,0.25,318680.42
2022-05-19,6919910,6920,298660,298.66,9796260,9796.26,153520,153.52,0,0,2211090,2211.09,0,0,0,0,3047890,3047.89,0,0,0.25,332391.4
2022-05-20,6897430,6897,202740,202.74,10093270,10093.27,210080,210.08,0,0,2208830,2208.83,0,0,0,0,3187930,3187.93,0,0,0.25,273277.98
2022-05-21,5715020,5715,146060,146.06,10678930,10678.93,80800,80.8,0,0,2208990,2208.99,0,0,0,0,2770820,2770.82,0,0,0.25,237191.47
2022-05-22,6128080,6128,207100,207.1,11414660,11414.66,129280,129.28,0,0,2208470,2208.47,0,0,0,0,2900410,2900.41,0,0,0.25,224286.84
2022-05-23,7280710,7281,220180,220.18,10662570,10662.57,169680,169.68,0,0,2210210,2210.21,0,0,0,0,3196490,3196.49,0,0,0.25,310085.1
2022-05-24,6700580,6701,189660,189.66,10507530,10507.53,153520,153.52,0,0,2202170,2202.17,0,0,0,0,3163510,3163.51,0,0,0.25,281750.1
2022-05-25,7265970,7266,174400,174.4,10375680,10375.68,202000,202,0,0,2209510,2209.51,0,0,0,0,3032830,3032.83,0,0,0.25,341444.7
2022-05-26,7343770,7344,200560,200.56,10258320,10258.32,153520,153.52,0,0,2209590,2209.59,0,0,0,0,3014840,3014.84,0,0,0.25,305616.91
2022-05-27,6446020,6446,130800,130.8,10569800,10569.8,193920,193.92,0,0,2209880,2209.88,0,0,0,0,2999570,2999.57,0,0,0.25,321910.01
2022-05-28,5925350,5925,170040,170.04,10801440,10801.44,226240,226.24,0,0,2207320,2207.32,0,0,0,0,2853460,2853.46,0,0,0.25,348776.2
2022-05-29,7202680,7203,152600,152.6,11663680,11663.68,121200,121.2,0,0,2212570,2212.57,0,0,0,0,2881260,2881.26,0,0,0.25,268755.76
2022-05-30,7946590,7947,156960,156.96,11028170,11028.17,355520,355.52,0,0,2208520,2208.52,0,0,0,0,2883640,2883.64,0,0,0.25,291821.93
2022-05-31,8122270,8122,207100,207.1,10733610,10733.61,193920,193.92,0,0,2208640,2208.64,0,0,0,0,3164610,3164.61,0,0,0.2,311005.57
2022-06-01,8182290,8182,200560,200.56,10526220,10526.22,210080,210.08,0,0,2208270,2208.27,0,0,0,0,3466510,3466.51,0,0,0.2,286599.69
2022-06-02,8248490,8248,170040,170.04,10492880,10492.88,121200,121.2,0,0,2204340,2204.34,0,0,0,0,2647040,2647.04,0,0,0.2,277374.85
2022-06-03,8364540,8365,156960,156.96,10246770,10246.77,121200,121.2,0,0,2204290,2204.29,0,0,0,0,2548890,2548.89,0,0,0.2,294581.98
2022-06-04,7721830,7722,91560,91.56,10296930,10296.93,105040,105.04,0,0,2205790,2205.79,0,0,0,0,2440320,2440.32,0,0,0.2,242224.6
2022-06-05,7960930,7961,150420,150.42,11100820,11100.82,185840,185.84,0,0,2204770,2204.77,0,0,0,0,2408290,2408.29,0,0,0.2,305828.44
2022-06-06,8609510,8610,61040,61.04,9338980,9338.98,185840,185.84,0,0,2252340,2252.34,0,0,0,0,2694050,2694.05,0,0,0.2,371322.88
2022-06-07,8526960,8527,61040,61.04,10679530,10679.53,121200,121.2,0,0,2252840,2252.84,0,0,0,0,2475420,2475.42,0,0,0.2,281499.42
2022-06-08,8357710,8358,52320,52.32,10754070,10754.07,121200,121.2,0,0,2253460,2253.46,0,0,0,0,2645350,2645.35,0,0,0.2,284077.22
2022-06-09,7501480,7501,39240,39.24,10941660,10941.66,177760,177.76,0,0,2251900,2251.9,0,0,0,0,2494960,2494.96,0,0,0.2,300331.91
2022-06-10,7121060,7121,39240,39.24,11186490,11186.49,153520,153.52,0,0,2250840,2250.84,0,0,0,0,2515530,2515.53,0,0,0.2,263534.2
2022-06-11,7433370,7433,41420,41.42,11303010,11303.01,96960,96.96,0,0,2249930,2249.93,0,0,0,0,2087780,2087.78,0,0,0.2,249316.93
2022-06-12,6898230,6898,56680,56.68,11657830,11657.83,169680,169.68,0,0,2250620,2250.62,0,0,0,0,2243540,2243.54,0,0,0.2,256414.8
2022-06-13,7765150,7765,91560,91.56,8097030,8097.03,121200,121.2,0,0,2251910,2251.91,0,0,0,0,2517140,2517.14,0,0,0,244407.37
2022-06-14,6764220,6764,6540,6.54,6330340,6330.34,234320,234.32,0,0,2250540,2250.54,0,0,0,0,2404340,2404.34,0,0,0,274510.23
2022-06-15,6107940,6108,8720,8.72,6036370,6036.37,137360,137.36,0,0,2253160,2253.16,0,0,0,0,2288300,2288.3,0,0,0,260623.36
2022-06-16,5627630,5628,93740,93.74,5131190,5131.19,113120,113.12,0,0,2255800,2255.8,0,0,0,0,2397690,2397.69,0,0,0,249303.3
2022-06-17,6991240,6991,63220,63.22,4915060,4915.06,137360,137.36,0,0,2252930,2252.93,0,0,0,0,2203100,2203.1,0,0,0.2,277743.6
2022-06-18,5400450,5400,67580,67.58,5097690,5097.69,48480,48.48,0,0,2253170,2253.17,0,0,0,0,1869590,1869.59,0,0,0,206508.37
2022-06-19,4711610,4712,41420,41.42,5230900,5230.9,72720,72.72,0,0,2251810,2251.81,0,0,0,0,2193220,2193.22,0,0,0,202407.93
