time,google_impressions,display_impressions,ctv_impressions,meta_impressions,google_spend, display_spend,ctv_spend,meta_spend,lead_created_count,avg_lead_value,total_revenue,organic_impressions_searchconsole
2023-05-27,10329,42173,0,0,392.47,152.41,0,0,24,1200,28800,85548
2023-05-28,12220,44858,0,0,306.68,147.87,0,0,25,1200,30000,85548
2023-05-29,13496,44365,0,0,297.54,143.13,0,0,24,1200,28800,85548
2023-05-30,15133,48708,0,0,315.32,143.76,0,0,29,1200,34800,85548
2023-05-31,10992,45881,0,0,236.53,143.28,0,0,38,1200,45600,85548
2023-06-01,18313,46449,0,0,422.17,153.56,0,0,35,1200,42000,85548
2023-06-02,18267,50260,0,0,493.92,146.66,0,0,34,1200,40800,85548
2023-06-03,18566,58195,0,0,515.68,147.58,0,0,29,1200,34800,85548
2023-06-04,15556,60156,0,0,461.69,155.43,0,0,41,1200,49200,85548
2023-06-05,14133,40235,0,0,480.09,128.16,0,0,33,1200,39600,85548
2023-06-06,16624,44105,0,0,424.51,147.22,0,0,31,1200,37200,85548
2023-06-07,6806,38010,0,0,514.57,146.8,0,0,27,1200,32400,85548
2023-06-08,14677,35851,0,0,421.45,147.29,0,0,32,1200,38400,85548
2023-06-09,7988,36777,0,0,442.76,150.89,0,0,28,1200,33600,85548
2023-06-10,11172,37137,0,0,492.44,143.65,0,0,17,1200,20400,85548
2023-06-11,19253,38273,0,0,513.03,152.69,0,0,37,1200,44400,85548
2023-06-12,14307,37534,0,0,600.15,140.97,0,0,23,1200,27600,85548
2023-06-13,15553,37690,0,0,468.64,150.52,0,0,39,1200,46800,85548
2023-06-14,18433,38040,0,0,551,146.3,0,0,24,1200,28800,85548
2023-06-15,16278,40554,0,0,482.34,151.43,0,0,29,1200,34800,85548
2023-06-16,17801,43542,0,0,449.59,152.68,0,0,29,1200,34800,85548
2023-06-17,66434,42765,0,0,515.82,139.72,0,0,27,1200,32400,85548
2023-06-18,118874,43821,0,0,558.18,147.94,0,0,35,1200,42000,85548
2023-06-19,57762,44926,0,0,462.56,149.46,0,0,22,1200,26400,85548
2023-06-20,21024,41037,0,0,522.81,149.56,0,0,31,1200,37200,85548
2023-06-21,31710,38678,0,0,536.9,139.41,0,0,27,1200,32400,85548
2023-06-22,22952,39415,0,0,567.13,130.54,0,0,34,1200,40800,85548
2023-06-23,27215,38208,0,0,579.07,160.98,0,0,21,1200,25200,85548
2023-06-24,33110,43364,0,0,499.17,154.24,0,0,24,1200,28800,85548
2023-06-25,23424,38295,0,0,543.69,152.13,0,0,24,1200,28800,85548
2023-06-26,20889,35732,0,0,472.7,129.78,0,0,45,1200,54000,85548
2023-06-27,23259,39742,0,0,534.87,155.53,0,0,23,1200,27600,85548
2023-06-28,22948,26499,0,0,519.25,119.14,0,0,31,1200,37200,85548
2023-06-29,25671,0,0,0,533.76,0,0,0,35,1200,42000,85548
2023-06-30,23367,0,0,0,500.48,0,0,0,30,1200,36000,85548
2023-07-01,24934,0,0,0,574.95,0,0,0,26,1200,31200,85548
2023-07-02,26494,0,0,0,502.23,0,0,0,24,1200,28800,85548
2023-07-03,22153,0,0,0,537.82,0,0,0,31,1200,37200,85548
2023-07-04,26710,0,0,0,597.08,0,0,0,24,1200,28800,85548
2023-07-05,29460,0,0,0,718.04,0,0,0,30,1200,36000,85548
2023-07-06,29505,0,0,0,620.42,0,0,0,23,1200,27600,85548
2023-07-07,19227,0,0,0,512.5,0,0,0,25,1200,30000,85548
2023-07-08,19949,0,0,0,589.86,0,0,0,17,1200,20400,85548
2023-07-09,18739,0,0,0,534.35,0,0,0,27,1200,32400,85548
2023-07-10,17843,0,0,0,627.21,0,0,0,45,1200,54000,85548
2023-07-11,16548,0,0,0,525.37,0,0,0,28,1200,33600,85548
2023-07-12,17341,0,0,0,534.75,0,0,0,29,1200,34800,85548
2023-07-13,16097,0,0,0,518.57,0,0,0,38,1200,45600,85548
2023-07-14,17222,0,0,0,543.12,0,0,0,38,1200,45600,85548
2023-07-15,16433,0,0,0,548.58,0,0,0,20,1200,24000,85548
2023-07-16,16957,0,0,0,517.68,0,0,0,31,1200,37200,85548
2023-07-17,15566,0,0,0,550.42,0,0,0,21,1200,25200,85548
2023-07-18,16354,0,0,0,550.78,0,0,0,38,1200,45600,85548
2023-07-19,14713,0,0,0,484.06,0,0,0,33,1200,39600,85548
2023-07-20,16306,0,0,0,616.22,0,0,0,30,1200,36000,85548
2023-07-21,15219,0,0,0,550.54,0,0,0,29,1200,34800,85548
2023-07-22,13684,0,0,0,701.66,0,0,0,20,1200,24000,85548
2023-07-23,10040,0,0,0,644.17,0,0,0,16,1200,19200,85548
2023-07-24,7781,0,0,0,649.72,0,0,0,28,1200,33600,85548
2023-07-25,9088,0,0,0,600.65,0,0,0,21,1200,25200,85548
2023-07-26,9779,0,0,0,580.65,0,0,0,19,1200,22800,85548
2023-07-27,8112,0,0,0,465.56,0,0,0,24,1200,28800,85548
2023-07-28,9604,0,0,0,693.4,0,0,0,22,1200,26400,85548
2023-07-29,17214,0,0,0,649.23,0,0,0,31,1200,37200,85548
2023-07-30,18462,0,0,0,716.64,0,0,0,26,1200,31200,85548
2023-07-31,19938,0,0,0,701.38,0,0,0,32,1200,38400,85548
2023-08-01,15080,0,0,0,577.35,0,0,0,21,1200,25200,85548
2023-08-02,16321,0,0,4485,594.78,0,0,11.74,35,1200,42000,85548
2023-08-03,17207,0,0,7538,603.09,0,0,19.32,19,1200,22800,85548
2023-08-04,20203,0,0,7737,646,0,0,19.32,26,1200,31200,85548
2023-08-05,20261,0,0,8647,528.39,0,0,19.33,21,1200,25200,85548
2023-08-06,20464,0,0,9179,636.24,0,0,20.65,19,1200,22800,85548
2023-08-07,17051,0,0,8167,654.5,0,0,20.61,33,1200,39600,85548
2023-08-08,16283,0,0,8517,625.66,0,0,20.21,37,1200,44400,85548
2023-08-09,14041,0,0,7512,522.95,0,0,19.87,33,1200,39600,85548
2023-08-10,6976,0,0,7204,456.27,0,0,19.7,33,1200,39600,85548
2023-08-11,10739,0,0,7033,514.83,0,0,19.42,19,1200,22800,85548
2023-08-12,14743,0,0,7252,517.7,0,0,19.54,23,1200,27600,85548
2023-08-13,13010,0,0,7736,588.08,0,0,20.99,24,1200,28800,85548
2023-08-14,11894,0,0,7096,567,0,0,20.48,38,1200,45600,85548
2023-08-15,9106,0,0,6655,551.39,0,0,20.12,19,1200,22800,85548
2023-08-16,11984,0,0,6281,501.88,0,0,19.55,22,1200,26400,85548
2023-08-17,11002,0,0,6527,531.08,0,0,19.75,36,1200,43200,85548
2023-08-18,12370,0,0,7218,461.48,0,0,19.47,23,1200,27600,85548
2023-08-19,12179,0,0,7482,641.64,0,0,19.64,24,1200,28800,85548
2023-08-20,16107,0,0,7956,649.19,0,0,21.03,20,1200,24000,85548
2023-08-21,14108,0,0,7493,574.64,0,0,20.33,26,1200,31200,85548
2023-08-22,11100,0,0,6144,519.25,0,0,20.14,34,1200,40800,85548
2023-08-23,13827,0,0,6287,516.2,0,0,19.87,31,1200,37200,85548
2023-08-24,11960,0,0,6809,436.01,0,0,19.88,30,1200,36000,85548
2023-08-25,14877,0,0,6812,488.86,0,0,19.18,28,1200,33600,85548
2023-08-26,21169,0,0,6875,634.77,0,0,19.57,41,1200,49200,85548
2023-08-27,22617,0,0,7677,584.36,0,0,21,23,1200,27600,85548
2023-08-28,18415,0,0,7433,572.4,0,0,20.51,30,1200,36000,85548
2023-08-29,10608,0,0,6854,571.23,0,0,20.08,38,1200,45600,85548
2023-08-30,11333,0,0,6808,636.35,0,0,19.88,35,1200,42000,85548
2023-08-31,19763,0,0,6743,596.72,0,0,19.76,28,1200,33600,85548
2023-09-01,9265,0,0,19423,230.17,0,0,60.83,21,1200,25200,85548
2023-09-02,12036,0,0,22159,208.78,0,0,76.73,25,1200,30000,85548
2023-09-03,10521,0,0,25500,209.05,0,0,87.27,33,1200,39600,85548
2023-09-04,10226,0,0,25446,249.73,0,0,84.96,21,1200,25200,85548
2023-09-05,9894,0,0,25401,221.37,0,0,83.46,35,1200,42000,85548
2023-09-06,5957,0,0,24064,266.15,0,0,82.68,30,1200,36000,85548
2023-09-07,4488,0,0,21709,204.3,0,0,81.89,24,1200,28800,85548
2023-09-08,9492,0,0,19679,228.64,0,0,80.07,30,1200,36000,85548
2023-09-09,6589,0,0,20735,244.18,0,0,80.67,37,1200,44400,85548
2023-09-10,11940,0,0,23067,230.37,0,0,87.22,40,1200,48000,85548
2023-09-11,11407,0,0,21920,227.72,0,0,84.95,45,1200,54000,85548
2023-09-12,11257,0,0,21982,227.14,0,0,83.52,30,1200,36000,85548
2023-09-13,9834,0,0,22175,210.62,0,0,82.48,39,1200,46800,85548
2023-09-14,10201,0,0,22064,201.55,0,0,81.82,35,1200,42000,85548
2023-09-15,11351,0,0,21496,218.74,0,0,79.98,25,1200,30000,85548
2023-09-16,15215,0,0,23113,226.22,0,0,81.03,22,1200,26400,85548
2023-09-17,15669,0,0,25986,233.29,0,0,87.21,32,1200,38400,85548
2023-09-18,8573,0,0,6043,216.08,0,0,20.07,41,1200,49200,85548
2023-09-19,11003,0,0,0,215.01,0,0,0,35,1200,42000,85548
2023-09-20,11192,0,0,0,217.53,0,0,0,38,1200,45600,85548
2023-09-21,12042,0,0,0,220.81,0,0,0,36,1200,43200,85548
2023-09-22,12470,0,0,0,229.75,0,0,0,30,1200,36000,85548
2023-09-23,11587,0,0,0,203.57,0,0,0,31,1200,37200,85548
2023-09-24,13380,0,0,0,191.01,0,0,0,31,1200,37200,85548
2023-09-25,12888,0,0,0,216.34,0,0,0,39,1200,46800,85548
2023-09-26,13616,0,0,0,217.06,0,0,0,30,1200,36000,85548
2023-09-27,13075,0,0,0,245.91,0,0,0,35,1200,42000,85548
2023-09-28,9767,0,0,0,221.86,0,0,0,26,1200,31200,85548
2023-09-29,8332,0,0,0,207.15,0,0,0,33,1200,39600,85548
2023-09-30,7977,0,0,0,141.14,0,0,0,33,1200,39600,85548
2023-10-01,12571,0,0,0,238.04,0,0,0,43,1200,51600,85548
2023-10-02,9699,0,0,0,205.53,0,0,0,46,1200,55200,85548
2023-10-03,10496,0,0,0,195,0,0,0,34,1200,40800,85548
2023-10-04,16069,0,0,0,298.12,0,0,0,31,1200,37200,85548
2023-10-05,27172,0,0,0,462.7,0,0,0,45,1200,54000,85548
2023-10-06,21161,0,0,0,304.17,0,0,0,16,1200,19200,85548
2023-10-07,26800,0,0,0,481.3,0,0,0,27,1200,32400,85548
2023-10-08,27322,0,0,0,400.76,0,0,0,28,1200,33600,85548
2023-10-09,23711,0,0,0,408.82,0,0,0,31,1200,37200,85548
2023-10-10,21218,0,0,0,388.37,0,0,0,29,1200,34800,85548
2023-10-11,21660,0,0,0,409.47,0,0,0,39,1200,46800,85548
2023-10-12,22393,0,0,0,385.71,0,0,0,20,1200,24000,85548
2023-10-13,24085,0,0,0,425.88,0,0,0,32,1200,38400,85548
2023-10-14,27721,0,0,0,418.28,0,0,0,28,1200,33600,85548
2023-10-15,27167,0,0,0,407.6,0,0,0,27,1200,32400,85548
2023-10-16,23785,0,0,0,399.49,0,0,0,33,1200,39600,85548
2023-10-17,25068,0,0,0,392.75,0,0,0,26,1200,31200,85548
2023-10-18,23946,0,0,0,367.85,0,0,0,31,1200,37200,85548
2023-10-19,25275,0,0,0,367.78,0,0,0,34,1200,40800,85548
2023-10-20,19861,0,0,0,288,0,0,0,33,1200,39600,85548
2023-10-21,18688,0,0,0,333.79,0,0,0,16,1200,19200,85548
2023-10-22,21259,0,0,0,355.31,0,0,0,22,1200,26400,85548
2023-10-23,16270,0,0,0,276.77,0,0,0,34,1200,40800,85548
2023-10-24,12555,0,0,0,335.06,0,0,0,30,1200,36000,85548
2023-10-25,11843,0,0,0,305.4,0,0,0,31,1200,37200,85548
2023-10-26,14853,0,0,0,359.3,0,0,0,19,1200,22800,85548
2023-10-27,12937,0,0,0,293.03,0,0,0,34,1200,40800,85548
2023-10-28,15852,0,0,0,322.83,0,0,0,22,1200,26400,85548
2023-10-29,11061,0,0,0,291.64,0,0,0,22,1200,26400,85548
2023-10-30,9851,0,0,0,304.59,0,0,0,29,1200,34800,85548
2023-10-31,7028,0,0,0,190.22,0,0,0,18,1200,21600,85548
2023-11-01,10995,0,0,0,340.01,0,0,0,26,1200,31200,85548
2023-11-02,10636,0,0,0,288.25,0,0,0,26,1200,31200,85548
2023-11-03,12382,0,0,0,262.53,0,0,0,14,1200,16800,85548
2023-11-04,13735,0,0,0,397.77,0,0,0,22,1200,26400,85548
2023-11-05,13827,0,0,0,368.64,0,0,0,17,1200,20400,85548
2023-11-06,10169,0,0,0,324.16,0,0,0,22,1200,26400,85548
2023-11-07,11227,0,0,0,340.08,0,0,0,22,1200,26400,85548
2023-11-08,12257,0,0,11725,305.55,0,0,21.34,24,1200,28800,85548
2023-11-09,11706,0,0,14924,277.02,0,0,28.08,24,1200,28800,85548
2023-11-10,12876,0,0,16468,323.62,0,0,28.29,27,1200,32400,85548
2023-11-11,13186,0,0,18238,318.01,0,0,29.72,19,1200,22800,85548
2023-11-12,12385,0,0,19791,307.45,0,0,31.12,27,1200,32400,85548
2023-11-13,7916,0,0,18942,220.96,0,0,30.01,28,1200,33600,85548
2023-11-14,10250,0,0,17850,249.65,0,0,29.26,25,1200,30000,85548
2023-11-15,6344,0,0,19879,203.35,0,0,34.86,26,1200,31200,85548
2023-11-16,8000,0,0,19984,260.89,0,0,37.04,0,0,0,85548
2023-11-17,6890,0,0,19622,242.67,0,0,37.58,0,0,0,85548
2023-11-18,8697,0,0,21097,256.12,0,0,40.82,18,1200,21600,85548
2023-11-19,8482,0,0,22688,249.08,0,0,41.52,10,1200,12000,85548
2023-11-20,3886,0,0,21558,224.6,0,0,39.45,25,1200,30000,85548
2023-11-21,5831,0,0,20490,201.74,0,0,38.18,20,1200,24000,85548
2023-11-22,6957,0,0,19158,216.14,0,0,38.58,20,1200,24000,85548
2023-11-23,8232,0,0,19990,229.58,0,0,40.13,15,1200,18000,85548
2023-11-24,7934,0,0,18995,245.81,0,0,39.17,15,1200,18000,85548
2023-11-25,7527,0,0,21373,235.47,0,0,42.94,14,1200,16800,85548
2023-11-26,8413,0,0,21637,251.88,0,0,41.31,23,1200,27600,85548
2023-11-27,4551,0,0,19370,221.27,0,0,38.85,22,1200,26400,85548
2023-11-28,5728,0,0,21234,210.36,0,0,39.74,28,1200,33600,85548
2023-11-29,8313,0,0,21936,175.67,0,0,39.57,38,1200,45600,85548
2023-11-30,8895,0,0,22064,188.77,0,0,38.64,22,1200,26400,85548
2023-12-01,7960,0,0,25015,181.86,0,0,39.11,16,1200,19200,85548
2023-12-02,6254,0,0,26409,136.21,0,0,41.79,14,1200,16800,85548
2023-12-03,8642,0,0,26513,178.5,0,0,40.4,17,1200,20400,85548
2023-12-04,7426,0,0,26600,145.52,0,0,39.77,27,1200,32400,85548
2023-12-05,8581,0,0,24321,172.39,0,0,39.53,26,1200,31200,85548
2023-12-06,7599,0,0,23591,152.12,0,0,38.79,25,1200,30000,85548
2023-12-07,6273,0,0,23189,172.86,0,0,39.9,23,1200,27600,85548
2023-12-08,5917,0,0,26968,169.41,0,0,48,19,1200,22800,85548
2023-12-09,8546,0,0,28034,211.65,0,0,49.11,19,1200,22800,85548
2023-12-10,6245,0,0,31184,187.76,0,0,51.17,21,1200,25200,85548
2023-12-11,6032,0,0,30382,179.17,0,0,50.49,20,1200,24000,85548
2023-12-12,6642,0,0,27428,171.44,0,0,48.98,32,1200,38400,85548
2023-12-13,8059,0,0,26562,185.24,0,0,48.46,63,1200,75600,85548
2023-12-14,7680,0,0,26259,191.64,0,0,48.59,15,1200,18000,85548
2023-12-15,6206,0,0,26364,176.38,0,0,49.92,18,1200,21600,85548
2023-12-16,6462,0,0,27694,166.25,0,0,51.73,17,1200,20400,85548
2023-12-17,7374,0,0,29812,191.31,0,0,51.25,30,1200,36000,85548
2023-12-18,6915,0,0,29740,173.26,0,0,50.15,13,1200,15600,85548
2023-12-19,5865,0,0,28713,167.01,0,0,48.96,24,1200,28800,85548
