time,Google-Brand,Google-Non-Brand,Google-PMAX,Google-Discovery,Google-DemandGen,Bing-Brand,Bing-Non-Brand,Bing-Smart Shopping,Facebook-Prospecting,Facebook-Retargeting,Meta Audience Network Prospecting,Meta Audience Network Retargeting,IG-Prospecting,IG-Retargeting,DV360_DOOH,DV360_Youtube_CTV,"DV360_Youtube_
 Mobile-Desktop",Podcasts,Amazon Display Prospecting,Amazon Display Retargeting,Amazon OTT,Amazon TNF,Amazon Audio,Amazon CTV,Inuvo Display Gaming,Inuvo Display Sports,Inuvo Display Brand,Inuvo Display Conquesting,Inuvo_Display_Outdoor,Inuvo CTV Brand,Inuvo_CTV_Outdoor,Inuvo_CTV_PG_Sports,Inuvo CTV Conquesting,Nexen Display,NEXXEN_CTV,NEXXEN_Audio,Trade Desk Display,Trade Desk OLV,Live Sports Activations,Promo_Var,revenue
2022-01-11,5269.05,116.95,0,165.68,0,0,0,407.66,2837.99,1208.18,2260.4,0,0,0,0,0,1276.64,0,2064.8,501.23,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.01,0,0,0,221222.88
2022-01-12,5141.34,133.16,0,153.73,0,0,0,390.22,2927.38,1098.89,2654.9,0,0,0,0,0,1058.48,0,2064.76,500.93,1834.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.18,0,0,0,232076.04
2022-01-13,4702.02,159.8,0,132.37,0,0,0,390.22,3793.16,1430.93,2521.3,0,0,0,0,0,1066.56,0,2067.44,499.92,1833.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.38,0,0,0,216484.36
2022-01-14,4332.93,185.68,0,0.82,0,0,0,364.06,3870.05,1592.63,3049.3,0,0,0,0,0,1098.88,0,2066.04,501.75,1833.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.84,0,0,0.2,389010.15
2022-01-15,4167.77,170.1,0,0,0,0,0,331.36,3779.38,1576.37,2213.8,0,0,0,0,0,1236.24,0,2066.75,500.07,1834.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.91,0,0,0.2,322553.13
2022-01-16,3959.12,287.88,0,0,0,0,0,194.02,3773.2,1507.85,2310.4,0,0,0,0,0,1405.92,0,2056.6,499.98,1834.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.6,0,0,0.2,264599.99
2022-01-17,4146.79,234.65,0,0,0,0,0,276.86,3810.97,1518.74,2210.5,0,0,0,0,0,1131.2,0,2075.14,503.23,1832.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.51,0,0,0.2,267872.79
2022-01-18,4209.02,147.27,0,18.15,0,0,0,272.5,3852.9,1560.71,2010.9,0,0,0,0,0,589.84,0,2066.56,500.81,1833.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.54,0,0,0.2,268440.43
2022-01-19,4192.17,140.34,0,216.19,0,0,0,189.66,4050.03,1583.62,2047.9,0,0,0,0,0,193.92,0,2064.81,501.02,1832.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.85,0,0,0.2,274943.37
2022-01-20,3933.07,141.59,0,255.61,0,0,0,294.3,4224.69,1703.94,2028.6,0,0,0,0,0,64.64,0,2065,500.65,1840.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164.64,0,0,0.2,304595.78
2022-01-21,3717.77,124.04,0,282.98,0,0,0,307.38,4175.33,1716.06,1800,0,0,0,0,0,40.4,0,2066.5,499.48,1838.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.28,0,0,0.2,259375.39
2022-01-22,3736.81,157.5,0,222.55,0,0,0,320.46,4106.43,1754.37,1907.9,0,0,0,0,0,96.96,0,2065.51,499.7,1835.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.58,0,0,0.2,250769.13
2022-01-23,3519.41,169.67,0,131.55,0,0,0,377.14,4209.53,1752.35,1870.8,0,0,0,0,0,121.2,0,2065.6,503.45,1832.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.12,0,0,0.2,267178.34
2022-01-24,3938.43,165.12,0,75.52,0,0,0,348.8,4228.63,1739.32,1832.2,0,0,0,0,0,8.08,0,2063.68,499.86,1833.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.35,0,0,0.2,290994.82
2022-01-25,4486.64,164.33,0,69.05,0,0,0,409.84,3414.56,1410.26,2972.1,0,0,0,0,0,32.32,0,2063.92,500.74,1835.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413.36,0,0,0,228584.39
2022-01-26,4759.26,178.23,0,125.31,0,0,0,372.78,3385.99,1380.35,2735.4,0,0,0,0,0,24.24,0,2066.19,500.82,1832.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800.16,0,0,0,218052.74
2022-01-27,4523.32,147.74,0,291.82,0,0,0,357.52,3418.36,1708.51,2700,0,0,0,0,0,24.24,0,2065.13,500.58,1833.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683.48,0,0,0,216955.23
2022-01-28,4206.45,162.15,0,468.81,0,0,0,303.02,3763.08,1797.55,2276.5,0,0,0,0,0,16.16,0,2064.43,500.7,1833.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644.63,0,0,0.3,244599.07
2022-01-29,4249.02,214.31,0,503.83,0,0,0,276.86,3860.37,1762.7,1920.7,0,0,0,0,0,202,0,2064.59,500.73,1834.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448.4,0,0,0.3,221971.87
2022-01-30,4185.04,244.7,0,293.06,0,0,0,248.52,3901.6,1707.98,1701.8,0,0,0,0,0,137.36,0,2063.86,500.35,1838.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.48,0,0,0.3,220333.49
2022-01-31,4194.03,141.22,0,181.92,0,0,0,263.78,3895.49,1679.97,1727.5,0,0,0,0,0,64.64,0,2066,500.99,1839.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.24,0,0,0.3,255926.36
2022-02-01,4733.76,252.34,0,212.71,0,0,0,311.74,3962.92,1740.04,1550.4,0,0,0,0,0,72.72,0,2065.67,499.19,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777.47,0,0,0.3,294628.32
2022-02-02,4353.28,208.17,0,301.57,0,0,0,298.66,3964.33,1731.93,1659.9,0,0,0,0,0,153.52,0,3391.02,502.49,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378.92,0,0,0.3,267725.96
2022-02-03,4570.04,229.66,0,344.02,0,0,0,296.48,3942.25,1755.69,1688.9,0,0,0,0,0,80.8,0,4293.86,500.67,1833.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390.93,0,0,0.3,247190.93
2022-02-04,4449,209.61,0,294.8,0,0,0,279.04,4268.84,1866.37,2007.7,0,0,0,0,0,32.32,0,4280.53,500.94,1839.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192.56,0,0,0.3,232381.77
2022-02-05,4809.41,290.19,0,178.33,0,0,0,285.58,4993.66,2123.06,2147.7,0,0,0,0,0,80.8,0,4189.76,500.31,1833.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998.71,0,0,0.3,255766.68
2022-02-06,4698.65,222.9,0,308.63,0,0,0,235.44,5039.23,2133.09,2365.1,0,0,0,0,0,105.04,0,4163,501.16,1834.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080.6,0,0,0.3,220863.17
2022-02-07,4633.5,187.26,0,334.16,0,0,0,322.64,5312.06,2319.05,2283,0,0,0,0,0,72.72,0,4258.53,500.53,1833.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.95,0,0,0.3,238845.18
2022-02-08,4864.21,163.41,0,152.93,0,0,0,372.78,3850.95,1602.38,3286,0,0,0,0,0,88.88,0,4260.29,501.25,1834.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008.68,0,0,0,222322.17
2022-02-09,5018.52,182.8,0,141.99,0,0,0,385.86,3848.78,1552.84,3242.5,0,0,0,0,0,210.08,0,4288.52,501.16,3133.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914.44,0,0,0,247046.13
2022-02-10,4747.34,243.49,0,61.72,0,0,0,385.86,3818.11,1620.46,3086.4,0,0,0,0,0,282.8,0,3954.99,500.64,3341.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936.82,0,0,0,226773.19
2022-02-11,4506.19,251.05,0,43.58,0,0,0,331.36,3820.96,1654.13,3086.4,0,0,0,0,0,412.08,0,3219.86,500.64,3215.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.31,0,0,0,220718.8
2022-02-12,4690.38,258.93,0,54.25,0,0,0,340.08,3799.83,1624.76,3682.1,0,0,0,0,0,1607.92,0,3221.27,500.63,3538.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855.07,0,0,0,199314.62
2022-02-13,4372.38,266.03,0,102.2,0,0,0,239.8,3815.97,1632.72,3129.8,0,0,0,0,0,630.24,0,3221.18,501.05,3222.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.76,0,0,0,199105.49
2022-02-14,4396.09,251.28,0,286.31,0,0,0,322.64,3799.48,1604.95,4211.8,0,0,0,0,0,347.44,0,3218.26,500.8,3335.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976.47,0,0,0,224220.5
2022-02-15,4802.17,247.94,0,287.45,0,0,0,257.24,3708.09,1662.86,3796.4,0,0,0,0,0,444.4,0,3221.31,500.5,3332.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047.65,0,0,0,249412.57
2022-02-16,4922.18,357,0,180.23,0,0,0,337.9,3579.65,1552.6,3334.3,0,0,0,0,0,2133.12,0,3221.48,501.28,3207.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.8,0,0,0,229198.38
2022-02-17,4879.35,531.41,0,147.65,0,0,0,337.9,3536.74,1634.27,2669.4,0,0,0,0,0,2440.16,0,3225.19,500.93,3329.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064.49,0,0,0,182130.35
2022-02-18,5104.75,474.8,0,171.87,0,0,0,189.66,4282.58,2307.46,2249.2,0,0,0,0,0,2787.6,0,3222.01,500.8,3181.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.61,0,0,0.3,227445.94
2022-02-19,5035.1,557.08,0,148.48,0,0,0,252.88,4251.64,2542.57,2487.5,0,0,0,0,0,2731.04,0,3221.98,500.69,3502.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.9,0,0,0.3,182515.31
2022-02-20,5084.72,709.41,0,173.97,0,0,0,189.66,4268.34,2448.83,2408.6,0,0,0,0,0,2391.68,0,3222.2,500.91,3354.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.61,0,0,0.3,191809.14
2022-02-21,5411.85,700.77,0,151.37,0,0,0,272.5,4324.84,2426.07,1742,0,0,0,0,0,2343.2,0,3220.12,501.11,3175.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,0,0,0.3,210518.79
2022-02-22,5452.9,825.34,0,126.36,0,0,0,259.42,4172.81,2355.56,1674.4,0,0,0,0,0,2222,0,3223.94,500.57,3208.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060.48,0,0,0.3,223507.12
2022-02-23,3714.75,526.23,0,130.4,0,0,0,220.18,3957.87,2238.06,1531.1,0,0,0,0,0,1979.6,0,3221.83,501.12,3219.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996.72,0,0,0.3,206081
2022-02-24,2845.34,486.12,0.01,122.95,0,0,0,161.32,4014.54,2315.61,1463.5,0,0,0,0,0,2335.12,0,3221.82,500.68,3383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.24,0,0,0.3,188231.36
2022-02-25,2584.39,299.13,0.03,57.89,0,0,0,220.18,2651.65,1317.33,1012.7,0,0,0,0,0,2165.44,0,3221.77,500.95,3210.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968.28,0,0,0.3,186947.52
2022-02-26,3005.88,334.87,169.67,0,0,0,0,270.32,1818.88,607.71,536.1,0,0,0,0,0,2504.8,0,3206.95,497.98,3463.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.01,0,0,0.3,191476.4
2022-02-27,3160.09,302.37,294.65,0,0,0,0,237.62,1839.07,640.91,489.4,0,0,0,0,0,2286.64,0,3237.99,503.73,3471.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.06,0,0,0.3,191922.5
2022-02-28,3860.3,283.2,333.2,0,0,0,0,337.9,1816.72,660.23,471.7,0,0,0,0,0,1244.32,0,3219.84,500.43,3145.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.46,0,0,0.3,228607.34
2022-03-01,3935.74,282.02,215.31,0,0,0,0,279.04,1931.43,738.82,656.9,0,0,0,0,0,1244.32,0,3223.78,500.97,3117.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504.05,0,0,0.3,212620.22
2022-03-02,5208.02,283.74,227.67,0,0,0,0,340.08,1968.95,752.77,439.5,0,0,0,0,0,1106.96,0,3224.74,501.09,3581.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876.22,0,0,0.3,232106.16
2022-03-03,6040.56,314.8,233.63,44.68,0,0,0,239.8,1981.27,767.84,524.9,0,0,0,0,0,1341.28,0,3222.65,500.97,3377.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236.62,0,0,0.3,253268.37
2022-03-04,3957.3,327.92,92.02,99.37,0,0,0,246.34,3283.2,1785.97,1582.6,0,0,0,0,0,1276.64,0,3223.06,500.83,3329.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298.23,0,0,0.35,244888.03
2022-03-05,3480.75,377.54,229.39,272.23,0,0,0,161.32,3761.27,2247.84,1930.4,0,0,0,0,0,1179.68,0,3221.03,500.74,3315.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729.35,0,0,0.35,207068.27
2022-03-06,3347.58,339.34,224.62,149.18,0,0,0,222.36,4003.08,2392.83,2125.2,0,0,0,0,0,1308.96,0,3222.34,500.99,3305.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689.9,0,0,0.35,213347.73
2022-03-07,3572.68,390.43,196.2,154.17,0,0,0,174.4,3971.5,2363.6,1832.2,0,0,0,0,0,1365.52,0,3221.54,500.63,3290.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131.07,0,0,0.35,239955.34
2022-03-08,4056.68,388.54,215.83,122.95,0,0,0,191.84,3706.16,2210.93,1682.5,0,0,0,0,0,1163.52,0,3223.09,501.05,3307.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2886.63,0,0,0.35,249542.32
2022-03-09,3678.85,266.61,200.46,83.87,0,0,0,187.48,3139.03,1957.38,1463.5,0,0,0,0,0,1090.8,0,3219.22,500.49,3257.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165.01,0,0,0.35,246172.48
2022-03-10,3757.62,261.09,194.14,39.18,0,0,0,172.22,2620.79,1582.31,1449,0,0,0,0,0,921.12,0,3222.4,500.78,3280.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168.62,0,0,0.35,239676.92
2022-03-11,3776.12,210.88,187.3,0,0,0,0,143.88,2610.74,1550.19,1202.7,0,0,0,0,0,1236.24,0,3223.56,501.06,3165.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2769.74,0,0,0.35,219398
2022-03-12,3914.94,309.92,175.99,0,0,0,0,106.82,2587.14,1575.62,1292.8,0,0,0,0,0,937.28,0,3224.26,500.75,3472.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683,0,0,0.35,213952.76
2022-03-13,3826.51,303.63,171.51,0,0,0,0,178.76,2629.8,1553.21,1201.1,0,0,0,0,0,824.16,0,3185.42,495.23,3319.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580.42,0,0,0.35,201319.74
2022-03-14,4791.08,326.57,193.96,0,0,0,0,244.16,2646.63,1585.94,1238.1,0,0,0,0,0,1292.8,0,3225.03,500.92,3111.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690.38,0,0,0.35,288323.12
2022-03-15,4552.4,317.89,140.75,0,0,0,0,276.86,2773.63,1610.15,1379.8,0,0,0,0,0,969.6,0,3212.14,500.72,3324.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633.94,0,0,0.35,220988.43
2022-03-16,4508.63,410.44,160.68,0,0,0,0,313.92,2615.58,1541.22,1098,0,0,0,0,0,1106.96,0,3234.39,501.16,3138.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709.19,0,0,0.35,264519.09
2022-03-17,3774.14,397.28,239.01,0,0,0,0,259.42,2793.26,1596.26,1222,0,0,0,0,0,1074.64,0,3212.23,498.47,3249.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824.43,0,0,0.35,234905.64
2022-03-18,7631.77,479.17,84.31,47.47,0,0,0,368.42,3989.23,2404.49,4533.8,0,0,0,0,0,1155.44,0,3232.42,503.19,3212.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698.38,0,0,0.45,602628.37
2022-03-19,5584.49,523.18,195.25,68.05,0,0,0,255.06,2752.95,1660.52,1647,0,0,0,0,0,1236.24,0,3221.38,500.96,3330.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.8,0,0,0.35,212751.15
2022-03-20,6344.48,481.79,200.32,133.33,0,0,0,287.76,2632,1558.86,1292.8,0,0,0,0,0,985.76,0,3220.61,500,3539.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669.56,0,0,0.35,231952.94
2022-03-21,6248.02,400.9,155.13,241.6,0,0,0,246.34,2577.36,1599.27,837.2,0,0,0,0,0,1090.8,0,3223.49,501.31,3282.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568.39,0,0,0.35,240331.03
2022-03-22,5382.63,352.59,158.54,289.04,0,0,0,327,2415.69,1572.79,109.5,0,0,0,0,0,856.48,0,1157.16,501.05,3134.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075.87,0,0,0,200010.79
2022-03-23,10182.78,410.3,284.56,256.69,0,0,0,327,6643.24,3177.41,96.6,0,0,0,0,0,1010,0,1968.43,501.42,3071.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14320.94,0,0,0,545408.37
2022-03-24,7671.09,518.55,70.22,166.9,0,0,0,388.04,7031.81,3481.33,4.8,0,0,0,0,0,581.76,0,1969.3,501.02,3075.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11433.17,0,0,0.25,393773.18
2022-03-25,8102.8,643.37,395.91,156.3,0,0,0,418.56,6333.2,3193.48,3.2,0,0,0,0,0,614.08,0,1968.55,500.98,2949.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10662.85,0,0,0.25,273412.3
2022-03-26,8420.61,736.67,83.72,67.13,0,0,0,420.74,5312.89,2650.54,12.9,0,0,0,0,0,832.24,0,1969.99,501.58,3066.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9319.33,0,0,0.25,263250.13
2022-03-27,7879.67,729.91,102.87,116.48,0,0,0,359.7,5576.32,2797.96,4.8,0,0,0,0,0,1308.96,0,1968.47,500.91,3187.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9327.3,0,0,0.25,244562.4
2022-03-28,7978.62,625.98,185.02,182.4,0,0,0,379.32,4773.89,2480.93,9.7,0,0,0,0,0,1591.76,0,1974.67,502.21,3395.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252.43,0,0,0.25,275684.72
2022-03-29,7356.62,586.11,141.34,156.13,0,0,0,377.14,4723.43,2250.51,6.4,0,0,0,0,0,1018.08,0,1972.41,500.96,3376.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8078.63,0,0,0.25,286756.66
2022-03-30,7165.72,632.94,133.66,127.38,0,0,0,287.76,4655.93,2163.14,11.3,0,0,0,0,0,1252.4,0,1972.7,500.95,3351.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6706.34,0,0,0.25,272427.87
2022-03-31,7932.8,1017.43,128.65,108.39,0,0,0,329.18,4578.64,2223.26,38.6,0,0,0,0,0,1777.6,0,1968.2,493.57,3280.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3853.19,0,0,0.25,252963.28
2022-04-01,7678.91,758.51,160.18,163.65,0,0,0,374.96,4393.95,2250.42,1.6,0,0,0,0,0,1801.84,0,814.8,493.86,906.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5274.74,0,0,0.25,254035.3
2022-04-02,6809.63,561.81,145.47,87.44,0,0,0,298.66,4508.18,2523.71,11.3,0,0,0,0,0,1527.12,0,815.01,493.99,898.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4367.63,0,0,0.25,216318.77
2022-04-03,5822.37,409.39,289.16,172.77,0,0,0,289.94,4797.15,2696.89,1.6,0,0,0,0,0,1696.8,0,815.28,493.89,899.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4398.41,0,0,0.25,218758.63
2022-04-04,6156.53,544.54,109.24,169.98,0,0,0,207.1,4496.19,2551.65,9.7,0,0,0,0,0,1826.08,0,815.31,493.83,900.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4133.5,0,0,0,247905.53
2022-04-05,5524.43,465.11,98.09,113.64,0,0,0,265.96,4343.65,2510.42,6.4,0,0,0,0,0,1559.44,0,815.58,494.15,897.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791.18,0,0,0,260360.53
2022-04-06,6019.57,478.99,89.63,89.07,0,0,0,218,3919.17,2312.83,8.1,0,0,0,0,0,1325.12,0,815.46,493.73,898.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982.53,0,0,0,238271.27
2022-04-07,6398.06,457.81,113.14,162.59,0,0,0,342.26,3853.67,2312.92,127.2,0,0,0,0,0,1268.56,0,815.76,493.82,898.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674.71,0,0,0,215112.39
2022-04-08,6953.96,755.94,99.76,193.16,0,0,0,263.78,3906.75,2329.43,6.4,0,0,0,0,0,1098.88,0,815.62,493.81,899.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4235.18,0,0,0.15,242113.13
2022-04-09,7263.06,714.01,103.91,219.11,0,0,0,224.54,3966.83,2411.28,9.7,0,0,0,0,0,1155.44,0,815.48,494.02,898.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3902.78,0,0,0.15,206480.37
2022-04-10,7382.85,968.25,70.13,180.75,0,0,0,185.3,4142.25,2431.96,6.4,0,0,0,0,0,1171.6,0,815.64,493.82,899.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200.52,0,0,0.15,215565.33
2022-04-11,8335.39,997.13,108.03,194.93,0,0,0,276.86,4027.08,2379.36,1.6,0,0,0,0,0,1010,0,815.7,494,899.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126.99,0,0,0.15,241414.53
2022-04-12,7889.97,683.06,111.25,192.15,0,0,0,270.32,3869.62,2363.5,9.7,0,0,0,0,0,1155.44,0,817.02,494.12,898.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690.31,0,0,0.15,228743.52
2022-04-13,7569.32,958.7,74.03,183.49,0,0,0,270.32,3785.28,2307.45,4.8,0,0,0,0,0,1034.24,0,815.36,494.06,949.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4764.92,0,0,0.15,233888.6
2022-04-14,7357.88,724.72,86.33,181.69,0,0,0,250.7,3789.06,2221.59,3.2,0,0,0,0,0,1308.96,0,814.81,493.8,899.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4553.11,0,0,0.15,229373.01
2022-04-15,6129.31,633.92,121.66,148.47,0,0,0,200.56,3789.56,2128.04,4.8,0,0,0,0,0,1058.48,0,814.91,494.02,899.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4476.13,0,0,0.15,203944
