time,lead_created_count,display_impressions,display_spend,ctv_impressions,ctv_spend,olv_impressions,olv_spend,google_ads_impressions,google_ads_spend,meta_impressions,meta_spend,total_revenue,organic_impressions,organic_spend
2025-02-17,29,57887,341.95,15921,445.79,0,0,"24,580",422.51,0,0,34800,656,656
2025-02-18,33,58142,342.1,15875,444.44,0,0,"28,123",517.17,0,0,39600,682,682
2025-02-19,32,59593,351.29,15815,443.22,0,0,"30,037",497.07,0,0,38400,717,717
2025-02-20,31,57984,341.39,15754,442.11,0,0,"31,626",515.2,0,0,37200,729,729
2025-02-21,37,58229,342.82,16091,443.78,0,0,"25,435",530.06,0,0,44400,572,572
2025-02-22,33,58367,343.81,16003,443.15,0,0,"33,612",472.74,0,0,39600,748,748
2025-02-23,32,58154,342.35,16329,450.44,0,0,"34,378",509.72,0,0,38400,678,678
2025-02-24,53,58348,343.2,16159,445.32,0,0,"26,151",437.57,0,0,63600,606,606
2025-02-25,37,57638,338.91,16148,443.12,0,0,"28,873",522.34,0,0,44400,600,600
2025-02-26,43,53021,312.57,15960,441.4,0,0,"24,156",400.61,0,0,51600,602,602
2025-02-27,36,58076,342.53,16082,442.37,0,0,"21,319",369.15,0,0,43200,604,604
2025-02-28,33,58213,342.39,16069,443.55,0,0,"10,610",271.34,0,0,39600,391,391
2025-03-01,42,58091,342.64,16061,442.29,0,0,"16,280",333.37,0,0,50400,755,755
2025-03-02,50,58173,342.76,16316,447.21,0,0,"17,416",328.77,0,0,60000,732,732
2025-03-03,47,57950,341.76,16047,441.59,0,0,"15,425",318.66,0,0,56400,689,689
2025-03-04,42,58148,342.58,16239,444.35,0,0,"13,579",255.82,0,0,50400,667,667
2025-03-05,51,58318,344.45,15919,440.75,0,0,"13,516",281.04,0,0,61200,656,656
2025-03-06,53,58007,341.92,16008,441.86,0,0,"15,358",373.79,0,0,63600,738,738
2025-03-07,38,58516,344.49,16272,447.23,0,0,"15,129",300.99,0,0,45600,565,565
2025-03-08,44,58204,343.1,15923,442.8,0,0,"22,424",391.67,0,0,52800,661,661
2025-03-09,51,57928,341.56,16017,443.72,0,0,"19,957",339.11,0,0,61200,641,641
2025-03-10,65,58031,342.57,16234,447.17,0,0,"17,637",339.54,0,0,78000,555,555
2025-03-11,68,58013,342.98,16376,451.02,0,0,"15,414",261.95,0,0,81600,542,542
2025-03-12,41,57831,340.74,15779,439.03,0,0,"43,104",459.81,0,0,49200,585,585
2025-03-13,51,57780,339.94,15863,440.91,0,0,"47,894",601.91,0,0,61200,607,607
2025-03-14,37,58146,342.58,15980,441,0,0,"40,414",586.87,0,0,44400,487,487
2025-03-15,60,58135,342.58,15822,439.46,0,0,"44,826",647.98,0,0,72000,583,583
2025-03-16,55,58017,341.39,15826,439.37,0,0,"45,331",556.72,0,0,66000,522,522
2025-03-17,43,57916,341.12,15978,440.36,0,0,"47,696",602.52,0,0,51600,479,479
2025-03-18,47,58365,343.21,15638,438.46,0,0,"40,566",570.15,0,0,56400,425,425
2025-03-19,55,57960,341.63,15822,440.21,0,0,"41,427",646.03,0,0,66000,469,469
2025-03-20,57,57742,340.44,15656,439.02,0,0,"38,193",603.1,0,0,68400,441,441
2025-03-21,58,58023,340.93,15676,439,0,0,"40,956",563.34,0,0,69600,310,310
2025-03-22,62,57812,341.36,15657,439.43,0,0,"45,395",470.9,0,0,74400,499,499
2025-03-23,46,57909,340.98,15705,441.43,0,0,"47,915",710.57,0,0,55200,443,443
2025-03-24,58,58119,342.35,15702,440.13,0,0,"41,222",575.12,0,0,69600,388,388
2025-03-25,52,57615,339.75,15686,440.16,0,0,"44,438",599.54,0,0,62400,355,355
2025-03-26,64,58085,342.81,15732,441.53,0,0,"45,372",558.05,0,0,76800,404,404
2025-03-27,48,57772,339.75,15596,438,0,0,"42,314",544.51,0,0,57600,415,415
2025-03-28,58,56562,332.82,15504,434.7,0,0,"63,286",551.39,0,0,69600,333,333
2025-03-29,54,57984,341.6,15559,438.18,0,0,"56,031",488.61,0,0,64800,370,370
2025-03-30,62,58298,343.96,15426,433.44,0,0,"61,662",506.32,0,0,74400,372,372
2025-03-31,70,53936,318.31,15266,428.52,0,0,"44,368",543.72,0,0,84000,384,384
2025-04-01,58,65847,388.63,12016,336.46,0,0,"52,118",574.41,0,0,69600,333,333
2025-04-02,68,85531,504.17,11984,334.54,0,0,"42,029",642.9,0,0,81600,325,325
2025-04-03,48,86853,504.59,11959,335.7,0,0,"63,966",562.1,0,0,57600,322,322
2025-04-04,52,270792,503.6,12114,335.83,0,0,"84,783",787.04,386,5.28,62400,243,243
2025-04-05,68,238171,496.61,12115,339.52,0,0,"61,029",664.36,1089,10.7,81600,269,269
2025-04-06,58,251113,504.36,11948,334.7,0,0,"64,588",857.51,1497,13.45,69600,359,359
2025-04-07,89,286931,504.43,11907,333.5,0,0,"55,999",777.45,1330,13.1,106800,354,354
2025-04-08,81,309684,503.76,11931,334.67,0,0,"52,431",714.32,1221,11.67,97200,358,358
2025-04-09,78,256854,501.54,11978,335.4,0,0,"48,291",815.08,1194,11.83,93600,324,324
2025-04-10,67,273108,491.79,11906,334.34,0,0,"59,167",732.33,1168,12.1,80400,375,375
2025-04-11,71,283848,485.56,11900,334.26,0,0,"70,646",851.77,617,5.74,85200,289,289
2025-04-12,53,321240,493.48,12178,341.2,0,0,"57,541",697.93,4781,86.17,63600,383,383
2025-04-13,62,238479,506.79,11904,334.13,0,0,"62,578",614.96,1533,34.07,74400,352,352
2025-04-14,65,293029,506.81,11887,333.08,0,0,"55,198",671.41,4152,107.42,78000,360,360
2025-04-15,64,290305,502.56,11958,335.41,0,0,"48,819",490.43,6570,185.53,76800,348,348
2025-04-16,54,244158,487.6,12030,336.61,0,0,"48,848",592.82,7747,150.09,64800,311,311
2025-04-17,41,256852,509.72,11883,334.03,0,0,"53,429",594.6,8917,139.47,49200,340,340
2025-04-18,60,206775,493.88,11870,331.97,0,0,"63,708",1048.88,2245,42.68,72000,246,246
2025-04-19,74,206558,509.43,11824,331.91,0,0,"67,397",1160.9,4347,104.72,88800,412,412
2025-04-20,29,201247,508.93,12447,349.29,0,0,"59,715",1057.38,5493,118.06,34800,333,333
2025-04-21,75,224242,508.68,11773,330.72,0,0,"60,223",1133.15,8851,133.01,90000,327,327
2025-04-22,69,207876,509.51,11754,329.99,0,0,"46,834",917.81,6776,98.37,82800,369,369
2025-04-23,52,219640,509.69,11743,329.24,0,0,"52,629",1024.03,5337,80.02,62400,326,326
2025-04-24,54,211145,510.62,13490,331.66,0,0,"47,306",668.73,7804,113.95,64800,320,320
2025-04-25,58,212561,508.35,13372,329.7,0,0,"61,069",1045.7,6306,95.04,69600,266,266
2025-04-26,42,205005,511.79,13713,327.66,0,0,"60,622",886.58,8475,116.16,50400,356,356
2025-04-27,44,215016,509.82,13502,326.85,0,0,"51,984",688.29,5317,89.12,52800,343,343
2025-04-28,53,221554,505.25,13401,328.76,0,0,"45,983",719.79,6254,101.46,63600,343,343
2025-04-29,46,251361,505.14,13186,325.04,0,0,"50,271",808.99,5558,103.1,55200,300,300
2025-04-30,55,222569,512.82,13268,328.19,0,0,"39,069",561.32,6980,106.67,66000,304,304
2025-05-01,38,188084,387.82,13493,331.77,0,0,"45,219",623.71,6096,103.43,45600,347,347
2025-05-02,45,172134,371.56,13278,325.46,0,0,"43,565",906.4,5600,93.94,54000,261,261
2025-05-03,50,153999,340.42,13571,325.55,0,0,"57,893",792.41,8446,119.52,60000,372,372
2025-05-04,38,201558,356.85,13715,323.82,0,0,"49,676",724.7,7299,102.17,45600,323,323
2025-05-05,40,191848,356.65,13715,325.27,0,0,"44,922",719.54,5864,87.04,48000,311,311
2025-05-06,32,159122,356.8,13768,324.91,0,0,"38,840",650.42,6412,100.36,38400,312,312
2025-05-07,31,129373,357.04,13693,324.3,0,0,"40,799",793.56,6579,96.48,37200,313,313
2025-05-08,39,152888,343.71,13379,322.5,0,0,"39,264",681.71,5392,98.65,46800,317,317
2025-05-09,29,169927,355.64,13303,325.38,0,0,"38,370",676.18,4462,92.13,34800,285,285
2025-05-10,21,153146,354.92,13280,324.05,0,0,"43,434",596.47,6498,116.84,25200,422,422
2025-05-11,25,148672,356.12,12900,325.2,0,0,"40,508",601.91,6534,103.69,30000,326,326
2025-05-12,39,174235,344.4,13340,327.56,0,0,"37,904",734.51,5664,95.47,46800,299,299
2025-05-13,36,165244,342.77,13410,329.05,0,0,"36,451",707.59,4204,92.49,43200,245,245
2025-05-14,30,156847,356.62,13098,322.77,0,0,"31,071",544.6,3592,86.21,36000,177,177
2025-05-15,18,155150,352.5,13120,322.56,0,0,"32,179",547.49,5493,117.66,21600,275,275
2025-05-16,25,174284,357.71,13136,326.03,0,0,"30,244",506.95,5227,87.47,30000,239,239
2025-05-17,30,220700,347.89,13142,322.48,0,0,"37,815",656.55,6803,116.18,36000,358,358
2025-05-18,25,189820,348.67,13214,324.66,0,0,"34,335",589.09,5447,114.08,30000,373,373
2025-05-19,33,198680,347.03,13101,322.16,0,0,"36,802",654.83,3933,93.5,39600,347,347
2025-05-20,29,216970,345.04,13128,320.91,0,0,"30,142",543.24,4402,95.97,34800,314,314
2025-05-21,17,161854,362.02,13502,322.39,0,0,"28,928",502.7,4635,102.3,20400,322,322
2025-05-22,12,134879,351.13,13026,317.91,0,0,"26,898",573.54,3181,87.17,14400,328,328
2025-05-23,17,168674,362.49,13634,323.1,0,0,"25,812",510.74,2935,87.59,20400,263,263
2025-05-24,18,193342,351.23,13181,318.55,0,0,"27,638",527.8,3489,151.75,21600,406,406
2025-05-25,17,141100,353.27,12797,324.43,0,0,"25,736",394.24,3438,112.32,20400,373,373
2025-05-26,25,200457,360.45,12935,318.07,0,0,"27,719",533.71,3948,87.39,30000,336,336
2025-05-27,26,185263,370.57,12935,317.83,0,0,"29,292",677.43,3607,82.06,31200,312,312
2025-05-28,28,203030,373.31,12899,316.79,0,0,"27,095",551.1,3716,107.55,33600,337,337
2025-05-29,17,103100,267.68,12927,318.1,0,0,"28,355",521.49,2561,74.89,20400,317,317
2025-05-30,27,60048,169.54,12831,316.49,0,0,"25,330",472.85,3181,80.55,32400,279,279
2025-05-31,13,65407,170.15,13277,313.2,0,0,"27,479",520.74,6124,124.28,15600,355,355
2025-06-01,23,74632,230.41,16753,401.82,0,0,"32,393",436.47,3385,63.09,27600,341,341
2025-06-02,24,104941,295.96,16777,403.8,0,0,"22,845",456.35,1056,20.98,28800,343,343
2025-06-03,13,87398,185.46,16532,403.08,0,0,"16,130",329.29,949,19.35,15600,297,297
2025-06-04,15,139265,299.49,16624,401.93,0,0,"15,593",371.4,1031,21.08,18000,318,318
2025-06-05,24,276724,283.94,16527,402.19,0,0,"14,934",309.45,853,20.28,28800,343,343
2025-06-06,21,153787,297.33,16450,401.52,0,0,"13,766",324.95,635,14.25,25200,268,268
2025-06-07,8,159691,298.92,16307,402.46,0,0,"17,741",387.25,879,21.79,9600,381,381
2025-06-08,23,152041,302.37,16147,401.01,0,0,"17,222",324.54,1091,21.94,27600,338,338
2025-06-09,29,153422,311.44,16358,402.02,0,0,"18,625",511.28,987,24.14,34800,377,377
2025-06-10,20,78528,310.42,16668,403.09,0,0,"14,282",341.14,778,14.23,24000,331,331
2025-06-11,22,36711,183.49,16395,400.23,0,0,"12,174",265.86,923,19.15,26400,321,321
2025-06-12,15,31593,155.02,16336,400.61,0,0,"12,973",370.67,1035,18.45,18000,356,356
2025-06-13,20,52800,154.19,16584,398.91,0,0,"12,729",277.5,1094,19.92,24000,292,292
2025-06-14,25,49726,160.25,16686,400.04,0,0,"16,686",393.84,1459,25.28,30000,397,397
2025-06-15,10,38087,159.95,16733,402.2,0,0,"15,426",260.1,1013,17.89,12000,362,362
2025-06-16,22,42797,160.67,16827,400.99,0,0,"17,329",370.74,1021,20.11,26400,369,369
2025-06-17,19,44918,160.05,15943,398.57,0,0,"17,536",371.82,1199,25.64,22800,350,350
2025-06-18,21,41943,160.2,16218,399.24,0,0,"20,085",383.56,998,16.64,25200,317,317
2025-06-19,21,43602,160.72,16418,399.86,0,0,"21,498",331.5,745,14.47,25200,359,359
2025-06-20,14,41987,158.88,16916,405.38,0,0,"21,308",359.63,1031,19.51,16800,304,304
2025-06-21,23,50441,160.37,16185,398,0,0,"25,561",436.25,1211,25.77,27600,353,353
2025-06-22,15,49680,159.68,16196,396.28,0,0,"30,028",566.77,1056,22.31,18000,351,351
2025-06-23,27,45240,160.05,16334,402.41,0,0,"22,624",385.42,914,17.8,32400,351,351
2025-06-24,15,37999,160.24,16508,400.44,0,0,"20,252",372.65,999,19,18000,335,335
2025-06-25,16,42036,159.69,16410,397.15,0,0,"20,145",340.61,1039,16.11,19200,310,310
2025-06-26,26,40836,158.75,16611,396.93,0,0,"14,466",269.15,1146,19.84,31200,346,346
2025-06-27,18,43335,160.16,16766,400.04,0,0,"16,830",226.53,1146,18.8,21600,328,328
2025-06-28,23,46548,158.64,16809,400.46,0,0,"22,827",448.47,1322,23.07,27600,401,401
2025-06-29,19,44212,155.02,16504,393.6,0,0,"20,015",318.73,1106,22.4,22800,368,368
2025-06-30,29,36365,138.65,16275,386.31,0,0,"18,548",325.96,1136,20.08,34800,373,373
2025-07-01,19,4690,32.32,13563,322.56,0,0,"16,250",333.28,1176,16.45,22800,364,364
2025-07-02,19,39131,232.08,13761,326.4,0,0,"16,461",286.37,1132,19.87,22800,370,370
2025-07-03,18,37007,232.38,13481,323.69,0,0,"14,829",264.1,1175,17.87,21600,409,409
2025-07-04,10,36920,231.18,13515,323.43,0,0,"14,806",252.03,1213,20,12000,332,332
2025-07-05,11,37315,232.99,13506,323.69,0,0,"16,040",397.14,1572,22.05,13200,396,396
2025-07-06,16,37240,232.93,13705,324.49,0,0,"16,409",301.61,541,5.64,19200,405,405
2025-07-07,28,36953,232.24,13582,324.83,0,0,"13,604",321.2,2966,21.3,33600,452,452
2025-07-08,32,37346,232.75,13637,324.25,0,0,"13,516",312.54,2440,22.93,38400,415,415
2025-07-09,19,37108,232.43,13558,323.25,0,0,"14,637",331.9,2537,20.25,22800,409,409
2025-07-10,19,37094,232.35,13601,323.69,0,0,"14,440",333.35,3548,25.93,22800,447,447
2025-07-11,22,37205,232.53,13631,324.83,0,0,"15,817",374.4,1845,21.6,26400,336,336
2025-07-12,32,37062,232.4,13663,324.32,0,0,"18,079",343.19,1886,22.02,38400,398,398
2025-07-13,23,37340,233.96,13636,324.72,0,0,"17,857",295.09,2502,20.65,27600,488,488
2025-07-14,27,37538,235,13570,323.85,0,0,"16,789",375.91,2534,19.22,32400,479,479
2025-07-15,25,37044,232.39,13707,325.59,0,0,"15,310",334.57,2395,21.27,30000,468,468
2025-07-16,16,37193,232.72,13522,322.05,0,0,"13,494",278.43,2915,16.31,19200,493,493
2025-07-17,29,37128,232.73,13569,322.09,0,0,"13,070",259.2,2988,22.17,34800,487,487
2025-07-18,29,36644,228.95,13413,324.97,0,0,"13,317",271.91,1635,15.32,34800,411,411
2025-07-19,20,37944,237.65,13646,323.54,0,0,"15,838",342.16,3432,26.87,24000,575,575
2025-07-20,19,36852,230.87,13264,323,0,0,"16,318",330.55,1785,19.24,22800,524,524
2025-07-21,21,37256,232.72,13626,322.59,0,0,"15,899",334.55,2842,18.79,25200,492,492
2025-07-22,22,37012,231.58,13170,322.94,0,0,"16,349",327.77,2048,23.2,26400,516,516
2025-07-23,16,36831,231.08,13610,322.92,0,0,"14,742",357.91,1034,16.54,19200,483,483
2025-07-24,14,36994,231.7,13251,320.86,0,0,"11,778",303.33,3380,27.98,16800,562,562
2025-07-25,18,36955,232.06,13470,320.82,0,0,"11,133",214.38,3464,38.45,21600,523,523
2025-07-26,27,37033,231.48,13268,321.85,0,0,"12,541",310.47,3435,49.31,32400,561,561
2025-07-27,19,37320,233.4,13612,322.23,0,0,"12,603",278.96,3266,36.24,22800,540,540
2025-07-28,27,36561,229.22,13203,319.49,0,0,"11,883",296.96,3639,37.67,32400,484,484
2025-07-29,26,34850,216.86,13524,318.52,0,0,"11,726",258.71,3185,39.57,31200,523,523
2025-07-30,28,37135,233.54,13076,316.8,0,0,"9,344",209.94,2771,36.79,33600,475,475
2025-07-31,22,39009,245.36,13418,317.24,0,0,"10,652",311.92,3838,36.07,26400,552,552
2025-08-01,19,36235,227,13522,327.25,0,0,"8,716",210.37,3708,38.68,22800,446,446
2025-08-02,17,35654,222.11,13672,324.96,0,0,"11,473",320.23,3227,44.87,20400,555,555
2025-08-03,24,36201,226.44,13383,323.97,0,0,"12,811",174.25,3404,33.78,28800,512,512
2025-08-04,38,36556,229.18,13502,324.86,0,0,"11,725",315.88,4543,38.43,45600,513,513
2025-08-05,23,35992,225.42,13472,323.84,0,0,"10,691",264.95,2862,32.94,27600,503,503
2025-08-06,22,36269,227.39,13443,324.53,0,0,"12,351",381.12,5730,51.11,26400,444,444
2025-08-07,18,36239,226.46,13595,326.09,0,0,"11,138",343.68,2909,36.89,21600,519,519
2025-08-08,16,36139,226.03,31407,746.44,0,0,"32,496",648.66,3331,41.85,19200,422,422
2025-08-09,29,35832,224.26,31277,744.15,0,0,"73,756",975.16,3992,44.57,34800,511,511
2025-08-10,22,54366,332.61,30891,741.42,0,0,"37,631",1045.24,3338,41.63,26400,456,456
2025-08-11,35,35381,221.76,30493,741.54,0,0,"37,979",1162.96,2991,40,42000,465,465
2025-08-12,28,35370,221.15,30819,745.72,0,0,"38,402",985.12,2518,36.21,33600,416,416
2025-08-13,27,35384,222.45,29593,739.43,0,0,"36,366",926.2,3384,36.17,32400,440,440
2025-08-14,26,35346,222.23,30704,731.61,0,0,"31,587",686.38,4028,38.94,31200,459,459
2025-08-15,26,35236,221.48,31000,747.17,0,0,"28,752",751.57,3019,41.99,31200,369,369
2025-08-16,23,35098,221.29,31139,742.98,0,0,"27,998",752.27,4071,46.6,27600,450,450
2025-08-17,27,35457,222.2,30836,740.9,0,0,"26,328",613.04,3410,40.4,32400,458,458
2025-08-18,42,35193,220.87,31042,739.36,0,0,"27,530",714.1,3253,35.56,50400,386,386
2025-08-19,19,35486,222.38,31194,745.89,0,0,"21,854",641.44,4042,42.63,22800,389,389
2025-08-20,27,35169,221.01,30538,726.39,0,0,"24,817",585.02,3035,33.47,32400,404,404
2025-08-21,27,34681,217.84,28995,725.56,0,0,"30,475",782.51,5012,43.33,32400,368,368
2025-08-22,33,34719,217.82,30855,739.4,0,0,"23,350",587.71,3231,37.4,39600,330,330
2025-08-23,20,34894,219.92,30731,740.51,0,0,"35,209",741.77,3477,45.47,24000,411,411
2025-08-24,18,34728,218.49,30969,740.93,0,0,"29,601",712.45,3199,42.59,21600,381,381
2025-08-25,22,34507,216.92,31036,741.46,0,0,"24,465",739.61,3323,38.16,26400,404,404
2025-08-26,22,34227,213.32,31359,743.55,0,0,"23,850",633.48,3170,46.85,26400,366,366
2025-08-27,23,34797,218.79,31093,743.02,0,0,"24,237",648.36,2063,39.23,27600,324,324
2025-08-28,22,35306,221.56,30925,737.79,0,0,"21,401",588,1620,33.17,26400,395,395
2025-08-29,19,33455,209.41,30711,732.48,0,0,"24,467",580.24,2014,33.29,22800,313,313
2025-08-30,28,36673,231.21,30859,732.54,0,0,"26,415",580.04,1795,35.15,33600,440,440
2025-08-31,10,29953,186.42,29772,715.25,0,0,"29,684",531.06,4212,42.74,12000,398,398
2025-09-01,20,38067,238.31,14180,337.14,0,0,"27,549",704.59,3462,45.64,24000,358,358
2025-09-02,39,57134,368.97,13655,342.55,0,0,"26,560",938.64,2759,42.75,46800,394,394
2025-09-03,30,51093,328.15,14209,334.15,0,0,"26,126",771.24,2065,35.16,36000,368,368
2025-09-04,29,51346,328.94,13828,337.2,0,0,"26,510",893.2,2727,44.77,34800,400,400
2025-09-05,20,51571,330.96,14744,340.31,0,0,"30,821",844.09,2310,33.75,24000,363,363
2025-09-06,32,51257,328.51,14667,343.55,0,0,"32,692",1064.85,2208,47.44,38400,447,447
2025-09-07,29,51299,329.25,14665,346.96,0,0,"30,212",971.97,2098,38.94,34800,443,443
2025-09-08,44,51419,330.66,14430,343.46,0,0,"27,787",962.06,2381,42.8,52800,436,436
2025-09-09,37,52181,335.07,14331,340.33,0,0,"31,166",972.81,1445,25.5,44400,507,507
2025-09-10,35,52746,339.31,14739,343.57,0,0,"35,431",1033.7,1080,18.17,42000,504,504
2025-09-11,31,95127,622.29,13884,338.88,0,0,"31,443",839.98,811,15.32,37200,297,297
2025-09-12,24,96365,628.99,14268,340.18,0,0,"33,236",756.94,1294,19.64,28800,224,224
2025-09-13,33,95366,625.18,13928,342.72,0,0,"37,324",789.54,1128,19.61,39600,338,338
2025-09-14,26,95364,625.58,14496,340.43,0,0,"34,880",767.78,1224,22.82,31200,318,318
2025-09-15,27,95666,626.34,13561,335.79,0,0,"35,949",700,1251,22.33,32400,322,322
2025-09-16,32,96207,629.33,13398,332.48,0,0,"26,391",739.97,1200,19.95,38400,270,270
2025-09-17,20,120218,624.66,13361,331.94,0,0,"34,577",706.89,1171,20.64,24000,278,278
2025-09-18,26,202619,630.86,14129,334.76,0,0,"28,795",686.59,863,17.48,31200,280,280
2025-09-19,25,190732,629.97,13048,332.94,0,0,"39,379",727.56,1079,16.45,30000,236,236
2025-09-20,30,199231,630.49,13982,337,0,0,"39,460",711.24,1260,22.87,36000,315,315
2025-09-21,22,182432,632.13,13374,331.74,0,0,"34,779",738.26,1131,16.63,26400,263,263
2025-09-22,33,213107,632.89,13779,328.42,0,0,"34,571",624.82,1679,25.07,39600,285,285
2025-09-23,35,202393,634.47,13272,330.2,0,0,"31,494",661.9,1159,21.11,42000,260,260
2025-09-24,21,178183,633.89,11822,301.94,0,0,"32,293",625.22,863,22.4,25200,264,264
2025-09-25,25,194794,633.79,12395,328.96,0,0,"28,446",549.87,554,4.94,30000,248,248
2025-09-26,31,188461,642.67,12752,330.51,0,0,"29,968",623.45,1563,26.33,37200,232,232
2025-09-27,23,200273,649.46,12248,325.11,0,0,"36,517",706.29,1691,28.68,27600,297,297
2025-09-28,29,179371,648.81,12891,324.38,0,0,"32,460",653.34,3413,42.64,34800,288,288
2025-09-29,30,185482,644.5,12253,324.21,0,0,"31,372",604.75,1799,28.9,36000,261,261
2025-09-30,43,193147,671.26,12224,315.59,0,0,"30,778",553.36,1877,28.46,51600,262,262
2025-10-01,22,80315,288.36,10680,276.42,0,0,"27,966",648.71,1339,23.33,26400,218,218
2025-10-02,28,88402,317.68,10844,282.65,0,0,"35,381",881.27,1249,20.62,33600,266,266
2025-10-03,20,91600,319.01,10925,284.85,0,0,"32,698",801.05,1968,21.66,24000,198,198
2025-10-04,24,86224,317.21,11344,290.42,0,0,"39,462",898.75,1558,21.48,28800,232,232
2025-10-05,29,91352,318.93,11345,296.43,0,0,"40,186",876.33,1328,20.54,34800,201,201
2025-10-06,28,95628,317.31,11152,286.01,0,0,"28,998",632.52,1763,23.56,33600,166,166
2025-10-07,30,90185,317.79,10871,299.23,0,0,"32,186",857.9,1175,19.39,36000,126,126
2025-10-08,34,88599,319.04,10826,282.5,0,0,"29,708",771.24,1582,19.6,40800,256,256
2025-10-09,27,93564,317.9,11616,306.79,0,0,"30,711",762.68,590,12.73,32400,218,218
