time,lead_created_count,display_impressions, display_spend ,ctv_impressions, ctv_spend ,olv_impressions, olv_spend ,brandedsearch_impressions, brandedsearch_spend , nonbrandedsearch_impressions , nonbrandedsearch_spend ,pmax_impressions, pmax_spend , meta_impressions , meta_spend ,avg_lead_value,organic_impressions_search_console
2021-01-31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-02,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-03,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-04,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-05,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-06,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-07,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-08,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-09,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-22,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-02-28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-03-01,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-03-02,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-03-03,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-03-04,49,0,0,0,0,0,0,708,59,12644,419.18,0,0,0,0,1200,85548
2021-03-05,49,0,0,0,0,0,0,537,32.13,37701,296.4,0,0,0,0,1200,85548
2021-03-06,46,0,0,0,0,0,0,676,30.68,31623,239.7,0,0,0,0,1200,85548
2021-03-07,40,0,0,0,0,0,0,566,14.77,58153,285.67,0,0,0,0,1200,85548
2021-03-08,50,0,0,0,0,0,0,1138,46.39,59628,254.9,0,0,0,0,1200,85548
2021-03-09,52,0,0,0,0,0,0,677,17.73,66628,377.42,0,0,0,0,1200,85548
2021-03-10,62,0,0,0,0,0,0,940,43.61,51482,272.37,0,0,0,0,1200,85548
2021-03-11,50,0,0,0,0,0,0,595,17.17,44639,324.25,0,0,0,0,1200,85548
2021-03-12,36,0,0,0,0,0,0,842,42.75,56310,268.97,0,0,0,0,1200,85548
2021-03-13,64,0,0,0,0,0,0,929,35.93,61956,318.34,0,0,0,0,1200,85548
2021-03-14,47,0,0,0,0,0,0,1097,33.17,66211,306.07,0,0,0,0,1200,85548
2021-03-15,47,0,0,0,0,0,0,951,33.45,48131,257.23,0,0,0,0,1200,85548
2021-03-16,70,0,0,0,0,0,0,490,18.84,46303,323.16,0,0,0,0,1200,85548
2021-03-17,49,0,0,0,0,0,0,1094,35.75,47272,280.25,0,0,0,0,1200,85548
2021-03-18,48,0,0,0,0,0,0,868,32.01,58744,322.33,0,0,0,0,1200,85548
2021-03-19,49,0,0,0,0,0,0,880,29.97,41445,231.02,0,0,0,0,1200,85548
2021-03-20,55,0,0,0,0,0,0,687,26.76,41102,281,0,0,0,0,1200,85548
2021-03-21,52,0,0,0,0,0,0,1014,42.43,48141,312.31,0,0,0,0,1200,85548
2021-03-22,76,0,0,0,0,0,0,791,32.13,36672,257.1,0,0,0,0,1200,85548
2021-03-23,73,0,0,0,0,0,0,663,24.5,38034,292.21,0,0,0,0,1200,85548
2021-03-24,70,0,0,0,0,0,0,705,34.1,36337,318.89,0,0,0,0,1200,85548
2021-03-25,71,0,0,0,0,0,0,551,18.9,39859,288.03,0,0,0,0,1200,85548
2021-03-26,51,0,0,0,0,0,0,489,20.5,42730,264.04,0,0,0,0,1200,85548
2021-03-27,67,0,0,0,0,0,0,749,27.7,44076,280.82,0,0,0,0,1200,85548
2021-03-28,48,0,0,0,0,0,0,1069,32.91,56290,313.27,0,0,0,0,1200,85548
2021-03-29,83,0,0,0,0,0,0,866,29.63,40353,223.73,0,0,0,0,1200,85548
2021-03-30,71,0,0,0,0,0,0,915,30.56,45806,331.55,0,0,0,0,1200,85548
2021-03-31,51,0,0,0,0,0,0,708,26.95,43573,272.69,0,0,0,0,1200,85548
2021-04-01,74,0,0,0,0,0,0,891,31.9,67534,317.08,0,0,0,0,1200,85548
2021-04-02,47,0,0,0,0,0,0,874,33.04,79481,307.44,0,0,0,0,1200,85548
2021-04-03,48,0,0,0,0,0,0,861,30.79,92135,307.41,0,0,0,0,1200,85548
2021-04-04,35,0,0,0,0,0,0,615,20.08,82175,266.71,0,0,0,0,1200,85548
2021-04-05,83,0,0,0,0,0,0,950,37.71,69732,311.42,0,0,0,0,1200,85548
2021-04-06,87,0,0,0,0,0,0,667,25.31,73626,301.83,0,0,0,0,1200,85548
2021-04-07,80,0,0,0,0,0,0,930,33.84,61215,313.44,0,0,0,0,1200,85548
2021-04-08,92,0,0,0,0,0,0,946,28.83,63766,260.63,0,0,0,0,1200,85548
2021-04-09,60,0,0,0,0,0,0,882,30.61,66916,317.01,0,0,0,0,1200,85548
2021-04-10,76,0,0,0,0,0,0,1261,42.22,55840,268.55,0,0,0,0,1200,85548
2021-04-11,65,0,0,0,0,0,0,810,29.97,83633,270.26,0,0,0,0,1200,85548
2021-04-12,101,0,0,0,0,0,0,921,27.31,49222,283,0,0,0,0,1200,85548
2021-04-13,116,0,0,0,0,0,0,863,26.94,67016,296.33,0,0,0,0,1200,85548
2021-04-14,83,0,0,0,0,0,0,1115,31.56,71940,310.6,0,0,0,0,1200,85548
2021-04-15,96,0,0,0,0,0,0,992,32.76,73700,296.17,0,0,0,0,1200,85548
2021-04-16,54,0,0,0,0,0,0,624,20.49,52585,268.51,0,0,0,0,1200,85548
2021-04-17,77,0,0,0,0,0,0,1352,41.63,78661,288.74,0,0,0,0,1200,85548
2021-04-18,77,0,0,0,0,0,0,678,19.98,90669,342.66,0,0,0,0,1200,85548
2021-04-19,86,0,0,0,0,0,0,1078,32.81,64143,276.59,0,0,0,0,1200,85548
2021-04-20,94,0,0,0,0,0,0,817,27.18,60414,297.05,0,0,0,0,1200,85548
2021-04-21,84,0,0,0,0,0,0,783,30.41,65100,303.05,0,0,0,0,1200,85548
2021-04-22,91,0,0,0,0,0,0,650,25.72,63771,300.43,0,0,0,0,1200,85548
2021-04-23,80,0,0,0,0,0,0,907,27.98,89363,305.22,0,0,0,0,1200,85548
2021-04-24,89,0,0,0,0,0,0,1244,37.46,79952,294.9,0,0,0,0,1200,85548
2021-04-25,68,0,0,0,0,0,0,1163,37.49,63513,240.25,0,0,0,0,1200,85548
2021-04-26,95,0,0,0,0,0,0,775,26.57,77306,300.32,0,0,0,0,1200,85548
2021-04-27,80,0,0,0,0,0,0,1016,36.61,80700,289.94,0,0,0,0,1200,85548
2021-04-28,83,0,0,0,0,0,0,1088,31.89,84835,308.23,0,0,0,0,1200,85548
2021-04-29,67,0,0,0,0,0,0,825,36.16,78561,343.91,0,0,0,0,1200,85548
2021-04-30,65,0,0,0,0,0,0,443,10.73,56972,185.51,0,0,0,0,1200,85548
2021-05-01,72,0,0,0,0,0,0,915,30.03,77367,320.57,0,0,0,0,1200,85548
2021-05-02,76,0,0,0,0,0,0,614,25.06,89710,334.31,0,0,0,0,1200,85548
2021-05-03,79,0,0,0,0,0,0,1283,39.64,56369,227.27,0,0,0,0,1200,85548
2021-05-04,97,0,0,0,0,0,0,969,42.43,70420,318.18,0,0,0,0,1200,85548
2021-05-05,65,0,0,0,0,0,0,767,30.73,76189,285.44,0,0,0,0,1200,85548
2021-05-06,71,0,0,0,0,0,0,831,22.78,70644,290.55,0,0,0,0,1200,85548
2021-05-07,46,0,0,0,0,0,0,435,18.46,61623,293.12,0,0,0,0,1200,85548
2021-05-08,59,0,0,0,0,0,0,800,26.71,61809,274.92,0,0,0,0,1200,85548
2021-05-09,52,0,0,0,0,0,0,1003,29.23,71383,279.82,0,0,0,0,1200,85548
2021-05-10,85,0,0,0,0,0,0,892,35.49,59194,315.72,0,0,0,0,1200,85548
2021-05-11,75,0,0,0,0,0,0,681,26.98,57140,290.28,0,0,0,0,1200,85548
2021-05-12,55,0,0,0,0,0,0,844,25.56,62531,354.21,0,0,0,0,1200,85548
2021-05-13,52,0,0,0,0,0,0,964,40.23,61333,288.8,0,0,0,0,1200,85548
2021-05-14,42,0,0,0,0,0,0,854,31.27,47150,248.44,0,0,0,0,1200,85548
2021-05-15,33,0,0,0,0,0,0,948,36.98,56737,270.81,0,0,0,0,1200,85548
2021-05-16,47,0,0,0,0,0,0,618,24.93,65926,323.81,0,0,0,0,1200,85548
2021-05-17,60,0,0,0,0,0,0,797,25.14,41853,252.99,0,0,0,0,1200,85548
2021-05-18,59,0,0,0,0,0,0,909,32.98,51116,310.08,0,0,0,0,1200,85548
2021-05-19,69,0,0,0,0,0,0,747,34,58603,329.8,0,0,0,0,1200,85548
2021-05-20,41,0,0,0,0,0,0,1013,32.54,46753,305.21,0,0,0,0,1200,85548
2021-05-21,46,0,0,0,0,0,0,902,24.3,44534,298.77,0,0,0,0,1200,85548
2021-05-22,39,0,0,0,0,0,0,927,30.26,45087,304.35,0,0,0,0,1200,85548
2021-05-23,38,0,0,0,0,0,0,1035,26.98,38365,258.84,0,0,0,0,1200,85548
2021-05-24,53,0,0,0,0,0,0,965,28.47,40168,286.75,0,0,0,0,1200,85548
2021-05-25,50,0,0,0,0,0,0,927,29.35,38929,274.91,0,0,0,0,1200,85548
2021-05-26,54,0,0,0,0,0,0,770,26.01,35940,274.33,0,0,0,0,1200,85548
2021-05-27,50,0,0,0,0,0,0,836,27.54,35538,228.81,0,0,0,0,1200,85548
2021-05-28,25,0,0,0,0,0,0,672,33.71,40173,228.16,0,0,0,0,1200,85548
2021-05-29,30,0,0,0,0,0,0,522,19.74,45656,308.65,0,0,0,0,1200,85548
2021-05-30,38,0,0,0,0,0,0,709,27.85,50295,217.31,0,0,0,0,1200,85548
2021-05-31,35,0,0,0,0,0,0,435,19.14,44448,279.12,0,0,0,0,1200,85548
2021-06-01,38,0,0,0,0,0,0,713,33.45,50737,334.97,0,0,0,0,1200,85548
2021-06-02,42,0,0,0,0,0,0,823,31.38,57366,346.56,0,0,0,0,1200,85548
2021-06-03,47,0,0,0,0,0,0,868,32.88,62723,353.46,0,0,0,0,1200,85548
2021-06-04,35,0,0,0,0,0,0,735,36.98,35708,248.82,0,0,0,0,1200,85548
2021-06-05,13,0,0,0,0,0,0,323,22.47,37027,263.23,0,0,0,0,1200,85548
2021-06-06,34,0,0,0,0,0,0,744,32.28,53248,254.75,0,0,0,0,1200,85548
2021-06-07,29,0,0,0,0,0,0,541,26.08,38763,237.79,0,0,0,0,1200,85548
2021-06-08,46,0,0,0,0,0,0,660,34.14,46432,285.95,0,0,0,0,1200,85548
2021-06-09,50,0,0,0,0,0,0,765,33.73,55123,358.68,0,0,0,0,1200,85548
2021-06-10,40,0,0,0,0,0,0,745,41.71,52820,334.95,0,0,0,0,1200,85548
2021-06-11,34,0,0,0,0,0,0,287,13.56,57851,340.73,0,0,0,0,1200,85548
2021-06-12,42,0,0,0,0,0,0,465,26.29,48690,280.74,0,0,0,0,1200,85548
2021-06-13,27,0,0,0,0,0,0,622,30.74,41002,274.69,0,0,0,0,1200,85548
2021-06-14,51,0,0,0,0,0,0,1048,41.11,37156,255.2,0,0,0,0,1200,85548
2021-06-15,53,0,0,0,0,0,0,774,34.51,40176,273.3,0,0,0,0,1200,85548
2021-06-16,39,0,0,0,0,0,0,719,34.5,40980,327.33,0,0,0,0,1200,85548
2021-06-17,32,0,0,0,0,0,0,917,39.73,40845,309.1,0,0,0,0,1200,85548
2021-06-18,29,0,0,0,0,0,0,326,12.13,45496,327.27,0,0,0,0,1200,85548
2021-06-19,29,0,0,0,0,0,0,469,22.43,48697,274.05,0,0,0,0,1200,85548
2021-06-20,30,0,0,0,0,0,0,449,27.14,39524,253.61,0,0,0,0,1200,85548
2021-06-21,38,0,0,0,0,0,0,619,30.79,43336,243.13,0,0,0,0,1200,85548
2021-06-22,46,0,0,0,0,0,0,783,33.43,52125,317.15,0,0,0,0,1200,85548
2021-06-23,45,0,0,0,0,0,0,741,41.85,54399,316.3,0,0,0,0,1200,85548
2021-06-24,38,0,0,0,0,0,0,662,25.84,57747,329.66,0,0,0,0,1200,85548
2021-06-25,36,0,0,0,0,0,0,519,21.73,56643,237.79,0,0,0,0,1200,85548
2021-06-26,25,0,0,0,0,0,0,612,29.64,57596,306.07,0,0,0,0,1200,85548
2021-06-27,30,0,0,0,0,0,0,832,42.56,45195,290.16,0,0,0,0,1200,85548
2021-06-28,39,0,0,0,0,0,0,562,21.07,45738,272.28,0,0,0,0,1200,85548
2021-06-29,45,0,0,0,0,0,0,605,32.11,53846,290.59,0,0,0,0,1200,85548
2021-06-30,45,0,0,0,0,0,0,504,19.53,50946,257.6,0,0,0,0,1200,85548
2021-07-01,27,0,0,0,0,0,0,511,21.64,89472,547.92,0,0,0,0,1200,85548
2021-07-02,37,0,0,0,0,0,0,957,37.24,83795,598.3,0,0,0,0,1200,85548
2021-07-03,25,0,0,0,0,0,0,594,34.48,94188,664.74,0,0,0,0,1200,85548
2021-07-04,23,0,0,0,0,0,0,348,20.98,80543,506.66,0,0,0,0,1200,85548
2021-07-05,30,0,0,0,0,0,0,673,34.11,77049,597.41,0,0,0,0,1200,85548
2021-07-06,49,0,0,0,0,0,0,803,36.59,77128,699.57,0,0,0,0,1200,85548
2021-07-07,49,0,0,0,0,0,0,575,35.29,82938,715.89,0,0,0,0,1200,85548
2021-07-08,53,0,0,0,0,0,0,685,33.29,88109,706.89,0,0,0,0,1200,85548
2021-07-09,33,0,0,0,0,0,0,466,24.67,72187,476.43,0,0,0,0,1200,85548
2021-07-10,52,0,0,0,0,0,0,617,34.64,88009,603.74,0,0,0,0,1200,85548
2021-07-11,38,0,0,0,0,0,0,608,20.22,92292,640.94,0,0,0,0,1200,85548
2021-07-12,61,0,0,0,0,0,0,726,27.13,54723,520.48,0,0,0,0,1200,85548
2021-07-13,50,0,0,0,0,0,0,668,29.31,81958,591.05,0,0,0,0,1200,85548
2021-07-14,39,0,0,0,0,0,0,625,29.71,75327,525.5,0,0,0,0,1200,85548
2021-07-15,63,0,0,0,0,0,0,356,15.97,92167,610.95,0,0,0,0,1200,85548
2021-07-16,51,0,0,0,0,0,0,1135,43.28,90546,569.48,0,0,0,0,1200,85548
2021-07-17,23,0,0,0,0,0,0,723,34.51,81136,657.26,0,0,0,0,1200,85548
2021-07-18,41,0,0,0,0,0,0,740,36.32,79378,738.97,0,0,0,0,1200,85548
2021-07-19,54,0,0,0,0,0,0,483,24.8,83101,657.77,0,0,0,0,1200,85548
2021-07-20,44,0,0,0,0,0,0,520,25.29,88964,527.16,0,0,0,0,1200,85548
2021-07-21,30,0,0,0,0,0,0,459,23.7,103126,749.59,0,0,0,0,1200,85548
2021-07-22,37,0,0,0,0,0,0,482,25.79,108789,728.33,0,0,0,0,1200,85548
2021-07-23,29,0,0,0,0,0,0,618,31.39,90932,581.55,0,0,0,0,1200,85548
2021-07-24,29,0,0,0,0,0,0,668,38.65,110857,643.11,0,0,0,0,1200,85548
2021-07-25,31,0,0,0,0,0,0,724,39.47,122998,724.45,0,0,0,0,1200,85548
2021-07-26,38,0,0,0,0,0,0,333,16.72,72979,522.87,0,0,0,0,1200,85548
2021-07-27,41,0,0,0,0,0,0,367,19.37,100667,641.66,0,0,0,0,1200,85548
2021-07-28,56,0,0,0,0,0,0,616,28.46,104810,655.68,0,0,0,0,1200,85548
2021-07-29,49,0,0,0,0,0,0,563,29.63,90413,607.49,0,0,0,0,1200,85548
2021-07-30,37,0,0,0,0,0,0,540,32.93,88644,558.72,0,0,0,0,1200,85548
2021-07-31,29,0,0,0,0,0,0,569,26.22,78139,531.85,0,0,0,0,1200,85548
2021-08-01,33,0,0,0,0,0,0,606,43.24,96542,649.83,0,0,0,0,1200,85548
2021-08-02,38,0,0,0,0,0,0,251,11.22,82760,649.97,0,0,0,0,1200,85548
2021-08-03,32,0,0,0,0,0,0,505,29.6,96862,627.08,0,0,0,0,1200,85548
2021-08-04,37,0,0,0,0,0,0,424,15.17,32988,219.26,0,0,0,0,1200,85548
2021-08-05,40,0,0,0,0,0,0,168,8.04,44938,253.98,0,0,0,0,1200,85548
2021-08-06,46,0,0,0,0,0,0,389,21.25,50605,254.28,0,0,0,0,1200,85548
2021-08-07,48,0,0,0,0,0,0,352,15.15,50657,276.97,0,0,0,0,1200,85548
2021-08-08,39,0,0,0,0,0,0,374,16.04,50210,243.45,0,0,0,0,1200,85548
2021-08-09,59,0,0,0,0,0,0,425,14.78,49379,242.65,0,0,0,0,1200,85548
2021-08-10,48,0,0,0,0,0,0,344,16.25,48663,295.27,0,0,0,0,1200,85548
2021-08-11,45,0,0,0,0,0,0,323,13.53,43268,246.4,0,0,0,0,1200,85548
2021-08-12,40,0,0,0,0,0,0,323,14.04,48156,281.16,0,0,0,0,1200,85548
2021-08-13,32,0,0,0,0,0,0,281,14.11,36116,184.58,0,0,0,0,1200,85548
2021-08-14,35,0,0,0,0,0,0,333,19.13,48765,292.23,0,0,0,0,1200,85548
2021-08-15,44,0,0,0,0,0,0,371,17.14,52868,277.34,0,0,0,0,1200,85548
2021-08-16,52,0,0,0,0,0,0,305,14.38,37556,230.83,0,0,0,0,1200,85548
2021-08-17,61,0,0,0,0,0,0,181,9.53,45783,271.49,0,0,0,0,1200,85548
2021-08-18,47,0,0,0,0,0,0,234,11.35,46931,279.31,0,0,0,0,1200,85548
2021-08-19,40,0,0,0,0,0,0,286,17.35,51694,307.99,0,0,0,0,1200,85548
2021-08-20,42,0,0,0,0,0,0,463,18.34,30142,175.96,0,0,0,0,1200,85548
2021-08-21,37,0,0,0,0,0,0,386,22,36418,246.99,0,0,0,0,1200,85548
2021-08-22,38,0,0,0,0,0,0,319,18.32,51981,259.35,0,0,0,0,1200,85548
2021-08-23,59,0,0,0,0,0,0,186,7.65,29813,239,0,0,0,0,1200,85548
2021-08-24,55,0,0,0,0,0,0,288,13.04,38121,244.93,0,0,0,0,1200,85548
2021-08-25,45,0,0,0,0,0,0,309,13.41,31993,221.7,0,0,0,0,1200,85548
2021-08-26,44,0,0,0,0,0,0,330,15.18,36993,230.52,0,0,0,0,1200,85548
2021-08-27,36,0,0,0,0,0,0,263,9.14,48501,334.59,0,0,0,0,1200,85548
2021-08-28,34,0,0,0,0,0,0,395,20.41,31510,234.65,0,0,0,0,1200,85548
2021-08-29,50,0,0,0,0,0,0,414,19.2,45066,295.52,0,0,0,0,1200,85548
2021-08-30,59,0,0,0,0,0,0,427,14.96,21700,160.11,0,0,0,0,1200,85548
2021-08-31,66,0,0,0,0,0,0,258,8.52,35798,243.2,0,0,0,0,1200,85548
2021-09-01,48,0,0,0,0,0,0,366,15.22,38594,258.76,0,0,0,0,1200,85548
2021-09-02,27,0,0,0,0,0,0,330,14.11,41033,258.79,0,0,0,0,1200,85548
2021-09-03,45,0,0,0,0,0,0,351,15.31,37601,234.33,0,0,0,0,1200,85548
2021-09-04,35,0,0,0,0,0,0,416,21.66,32243,263.7,0,0,0,0,1200,85548
2021-09-05,42,0,0,0,0,0,0,272,14.84,35833,241.23,0,0,0,0,1200,85548
2021-09-06,52,0,0,0,0,0,0,304,12.73,36095,236.97,0,0,0,0,1200,85548
2021-09-07,43,0,0,0,0,0,0,469,16.18,33969,296.51,0,0,0,0,1200,85548
2021-09-08,56,0,0,0,0,0,0,421,10.28,19553,244.3,0,0,0,0,1200,85548
2021-09-09,48,0,0,0,0,0,0,324,15.22,12717,202.54,0,0,0,0,1200,85548
2021-09-10,53,0,0,0,0,0,0,408,15.23,10158,124.29,0,0,0,0,1200,85548
2021-09-11,41,0,0,0,0,0,0,603,22.22,12717,182.81,0,0,0,0,1200,85548
2021-09-12,45,0,0,0,0,0,0,557,22.24,11854,153.08,0,0,0,0,1200,85548
2021-09-13,57,0,0,0,0,0,0,291,7.18,14647,225.61,0,0,0,0,1200,85548
2021-09-14,77,0,0,0,0,0,0,349,13.71,14509,184.72,0,0,0,0,1200,85548
2021-09-15,53,0,0,0,0,0,0,318,9.26,13074,166.01,0,0,0,0,1200,85548
2021-09-16,45,0,0,0,0,0,0,342,16.33,13790,185.63,0,0,0,0,1200,85548
2021-09-17,41,0,0,0,0,0,0,394,17.69,15245,183.57,0,0,0,0,1200,85548
2021-09-18,42,0,0,0,0,0,0,403,19.55,17168,232.58,0,0,0,0,1200,85548
2021-09-19,47,0,0,0,0,0,0,409,16.16,12892,198.81,0,0,0,0,1200,85548
2021-09-20,55,0,0,0,0,0,0,449,13.64,10108,133.12,0,0,0,0,1200,85548
2021-09-21,51,0,0,0,0,0,0,400,9.62,14287,220.25,0,0,0,0,1200,85548
2021-09-22,63,0,0,0,0,0,0,369,12.27,9157,97.15,0,0,0,0,1200,85548
2021-09-23,43,0,0,0,0,0,0,437,18.52,15560,249.35,0,0,0,0,1200,85548
2021-09-24,38,0,0,0,0,0,0,517,19.84,10330,105.87,0,0,0,0,1200,85548
2021-09-25,43,0,0,0,0,0,0,527,15.55,13756,225.88,0,0,0,0,1200,85548
2021-09-26,36,0,0,0,0,0,0,432,19.65,11949,160.15,0,0,0,0,1200,85548
2021-09-27,45,0,0,0,0,0,0,292,11.83,14615,207.02,0,0,0,0,1200,85548
2021-09-28,49,0,0,0,0,0,0,362,14.51,15039,207.73,0,0,0,0,1200,85548
2021-09-29,43,0,0,0,0,0,0,319,12.57,15667,202.42,0,0,0,0,1200,85548
2021-09-30,42,0,0,0,0,0,0,333,9.94,11849,115.36,0,0,0,0,1200,85548
2021-10-01,29,0,0,0,0,0,0,263,14.75,13976,178.41,0,0,0,0,1200,85548
2021-10-02,35,0,0,0,0,0,0,365,18.6,14997,195.13,0,0,0,0,1200,85548
2021-10-03,47,0,0,0,0,0,0,367,20.31,14557,187.99,0,0,0,0,1200,85548
2021-10-04,48,0,0,0,0,0,0,239,9.65,12795,191.68,0,0,0,0,1200,85548
2021-10-05,57,0,0,0,0,0,0,304,16.41,16942,208.78,0,0,0,0,1200,85548
2021-10-06,40,0,0,0,0,0,0,273,11.73,17959,235.48,0,0,0,0,1200,85548
2021-10-07,43,0,0,0,0,0,0,433,14.27,19589,234.14,0,0,0,0,1200,85548
2021-10-08,20,0,0,0,0,0,0,487,19,11024,108.52,0,0,0,0,1200,85548
2021-10-09,32,0,0,0,0,0,0,225,13.69,15580,148.49,0,0,0,0,1200,85548
2021-10-10,37,0,0,0,0,0,0,286,13.55,15668,174,0,0,0,0,1200,85548
2021-10-11,41,0,0,0,0,0,0,337,16.21,13281,160.13,0,0,0,0,1200,85548
2021-10-12,30,0,0,0,0,0,0,327,15.79,14982,161.17,0,0,0,0,1200,85548
2021-10-13,47,0,0,0,0,0,0,264,15.34,20367,222.72,0,0,0,0,1200,85548
2021-10-14,45,0,0,0,0,0,0,255,13.21,16855,186.03,0,0,0,0,1200,85548
2021-10-15,27,0,0,0,0,0,0,347,14.78,12871,121.85,0,0,0,0,1200,85548
2021-10-16,34,0,0,0,0,0,0,226,14.58,17649,192.94,0,0,0,0,1200,85548
2021-10-17,22,0,0,0,0,0,0,241,17.27,16543,202.33,0,0,0,0,1200,85548
2021-10-18,48,0,0,0,0,0,0,219,10.43,12987,146.36,0,0,0,0,1200,85548
